#{"t_start": 1774007051.3054338, "env_id": "continuous-exit-v0"}
r,l,t
0.352276,2,5.950847
1.020358,3,6.107797
3.28592,9,6.594487
2.602536,8,7.025565
0.529889,2,7.14337
0.537866,2,7.261901
1.266565,4,7.501196
0.532066,2,7.625385
0.507701,2,7.726032
0.951088,3,7.886501
0.715198,3,8.06737
0.509122,2,8.189723
0.530081,2,8.311562
0.466476,2,8.435061
0.906308,3,8.611767
1.621722,5,8.889025
0.527429,2,8.9865
0.360431,2,9.102385
0.511291,2,9.226098
1.249566,4,9.47365
0.531795,2,9.574973
0.935237,3,9.735693
-2.321353,7,10.119999
0.950602,3,10.296649
0.862503,3,10.452365
0.35044,2,10.571203
-1.469719,10,11.126615
-3.40251,4,11.358782
1.60036,5,11.63482
2.170258,6,12.014624
0.497507,2,12.142606
-1.517128,10,12.727877
-2.91647,6,13.070941
2.666533,7,13.471033
0.543385,2,13.587362
1.62125,5,13.854391
1.752513,6,14.198674
0.541933,2,14.324531
0.528267,2,14.432052
0.92848,3,14.60843
-2.659535,7,15.019678
0.519269,2,15.140311
0.96309,3,15.32158
0.922968,3,15.48122
0.541956,2,15.599714
1.539833,5,15.861175
0.321233,2,15.961961
0.530815,2,16.081337
0.368115,2,16.19957
0.911215,3,16.380747
0.340234,2,16.480843
0.503633,2,16.582584
0.53543,2,16.702603
2.85988,8,17.132631
3.330723,8,17.562047
-3.097554,5,17.805562
0.560729,2,17.907859
3.579484,9,18.385558
1.19325,4,18.590882
0.534829,2,18.69371
0.518343,2,18.800271
0.839876,3,18.986108
0.363613,2,19.104924
1.644632,5,19.377046
0.922504,3,19.541686
-2.0192,8,19.960288
0.528434,2,20.08239
0.493231,2,20.205971
0.530262,2,20.324856
2.284764,6,20.65507
0.534156,2,20.775953
0.929633,3,20.937983
1.119193,4,21.186235
0.532198,2,21.306783
0.361164,2,21.427366
3.938398,11,22.006691
0.563742,2,22.12595
0.54885,2,22.226831
1.615609,5,22.478026
1.221628,4,22.702241
0.355051,2,22.81925
1.762716,6,23.106516
0.512386,2,23.228999
0.915376,3,23.391679
2.110204,6,23.714503
3.125133,9,24.216209
0.539083,2,24.33916
1.35305,4,24.540962
0.547002,2,24.660001
0.358677,2,24.780377
1.81175,5,25.05851
0.524367,2,25.176446
-3.418004,4,25.421918
0.540666,2,25.52196
1.690918,5,25.802851
0.557293,2,25.920513
0.530915,2,26.02109
-1.664366,8,26.4371
0.52504,2,26.557291
0.522603,2,26.680817
1.701903,6,27.029766
-3.590465,4,27.231446
0.341435,2,27.351286
0.530668,2,27.469324
0.350767,2,27.56803
4.608512,12,28.203221
-0.724806,11,28.792963
1.303135,4,29.025874
0.544944,2,29.142482
0.512235,2,29.266291
0.52221,2,29.387097
0.348134,2,29.488789
0.513832,2,29.61355
0.517251,2,29.736527
2.125328,6,30.091338
2.47849,7,30.501369
2.256867,7,30.909252
0.558856,2,31.024648
0.541401,2,31.143531
0.549344,2,31.263664
0.533067,2,31.385212
4.181733,11,31.953659
1.582333,5,32.234663
0.944027,3,32.396336
0.544246,2,32.499867
0.927645,3,32.663687
1.833605,5,32.924558
0.983931,15,33.729529
0.541126,2,33.830682
-3.357507,4,34.071004
-3.536354,4,34.304914
1.363311,4,34.522722
-3.745735,4,34.74195
0.552001,2,34.859282
3.218333,9,35.364773
-3.40528,5,35.65818
0.509679,2,35.758749
1.300991,4,35.980972
-3.076571,5,36.244021
1.178371,4,36.465671
0.466762,2,36.581674
-2.983889,5,36.865256
0.495447,2,36.983131
0.557626,2,37.08046
0.533153,2,37.184671
1.710724,5,37.463587
-2.332269,7,37.815572
0.521356,2,37.936267
0.947684,3,38.101369
0.923216,3,38.266918
0.573589,2,38.388935
1.100577,5,38.676168
0.552618,2,38.794868
0.53405,2,38.893291
-0.78873,11,39.507473
-3.46851,5,39.78736
-2.192316,7,40.166534
0.530737,2,40.264217
-3.060631,5,40.522623
3.51061,9,41.006435
1.782698,5,41.264928
1.498309,5,41.518242
0.462938,2,41.63663
0.708402,3,41.79559
-3.306191,5,42.053371
0.323211,2,42.151188
-3.181341,5,42.406494
0.539299,2,42.523967
0.860709,3,42.697579
1.246602,4,42.912772
