#{"t_start": 1774015461.602292, "env_id": "continuous-exit-v0"}
r,l,t
0.536686,2,14.308923
0.52108,2,14.406269
0.513548,2,14.52503
0.514034,2,14.622516
0.918749,3,14.779774
2.391808,7,15.166403
3.28789,9,15.67892
0.547896,2,15.796887
0.561303,2,15.912308
0.906687,3,16.070317
0.537355,2,16.171116
0.534943,2,16.288294
0.932979,3,16.465008
0.549227,2,16.583004
0.343827,2,16.702652
1.395617,5,16.994385
0.559113,2,17.091881
0.3554,2,17.210194
3.723226,9,17.725458
-3.474638,4,17.941027
-3.10449,5,18.197558
0.363148,2,18.313796
0.550547,2,18.412741
0.520716,2,18.531335
0.326409,2,18.649072
0.321744,2,18.74909
0.540976,2,18.868167
0.545918,2,18.986748
2.556874,7,19.361568
0.552512,2,19.480083
1.225157,4,19.712084
0.897597,3,19.868343
0.517108,2,19.991849
-2.325997,7,20.352859
0.925194,3,20.510134
0.547625,2,20.625645
2.353128,7,21.046118
1.730914,5,21.321586
0.508909,2,21.419421
0.473054,2,21.535488
2.720458,8,21.974407
2.004521,6,22.306142
0.528951,2,22.422123
1.410846,5,22.682023
0.568527,2,22.797464
1.380311,4,22.994121
1.236066,4,23.232577
0.534806,2,23.348626
1.549051,5,23.622989
0.510095,2,23.738691
0.536476,2,23.837547
0.540241,2,23.938384
0.513226,2,24.037347
0.524551,2,24.155156
0.553408,2,24.2713
0.316243,2,24.388247
2.222809,6,24.702736
1.349755,4,24.91808
-3.172326,5,25.180127
-2.994248,5,25.422259
0.335274,2,25.522579
0.516092,2,25.64195
0.51938,2,25.738926
0.527305,2,25.83867
0.496753,2,25.938871
0.567561,2,26.039022
0.51106,2,26.139555
0.503141,2,26.241394
3.491553,9,26.708282
0.56641,2,26.80771
0.568058,2,26.928522
0.546516,2,27.044525
0.534329,2,27.160644
0.53458,2,27.258034
0.537218,2,27.355452
0.543833,2,27.455466
0.912409,3,27.613554
0.329567,2,27.713167
2.212658,7,28.094512
1.078093,4,28.327545
1.336385,4,28.529319
0.546433,2,28.648461
0.556982,2,28.764395
-3.028575,5,29.036496
0.338744,2,29.151417
-3.108757,5,29.428618
0.563797,2,29.526455
1.284814,5,29.784276
0.568798,2,29.901137
0.530545,2,30.003803
0.863811,3,30.16108
0.920016,3,30.298396
-1.855879,7,30.670925
-2.51242,7,31.014804
0.505371,2,31.131191
0.538822,2,31.230532
1.302104,4,31.426594
1.770543,5,31.681867
0.994859,3,31.856063
0.475698,2,31.973485
0.537009,2,32.091274
3.638521,9,32.584921
1.800581,6,32.918065
0.954312,3,33.091959
0.470126,2,33.207993
0.531042,2,33.306509
0.529934,2,33.404677
-3.561549,4,33.639292
-2.976167,5,33.895084
0.539744,2,34.013145
0.540359,2,34.131761
0.536643,2,34.253348
0.557451,2,34.370764
0.507487,2,34.490242
0.553895,2,34.609814
1.300259,4,34.829874
0.527388,2,34.929618
0.985999,3,35.094046
0.471522,2,35.209868
0.873804,3,35.365406
