#{"t_start": 1774000210.1702147, "env_id": "continuous-highway-v0"}
r,l,t
5.026951,13,7.801921
4.55298,12,8.146854
5.20151,13,8.525886
6.459089,15,8.967902
5.702053,15,9.394094
5.828039,15,9.822175
7.178358,17,10.30762
1.18045,14,10.712566
4.208727,11,11.023954
1.632363,15,11.451563
6.104135,14,11.854211
5.902486,15,12.282903
1.965547,16,12.757375
6.159183,15,13.188742
6.932799,15,13.616924
4.391609,12,13.946813
4.775989,12,14.301661
7.186254,15,14.73088
5.367163,14,15.135576
-0.233268,13,15.492394
4.411922,13,15.861245
1.448736,16,16.317149
5.113408,13,16.679868
0.753596,13,17.057681
4.438877,12,17.398238
5.212843,13,17.77396
5.426235,13,18.151382
5.605943,13,18.5402
4.99094,13,18.903102
6.08809,15,19.331
6.311589,14,19.733815
0.788076,14,20.123832
1.418426,16,20.56352
6.560781,15,20.98608
5.637458,14,21.378656
4.989993,13,21.744211
5.151423,13,22.111523
5.189997,14,22.501862
7.535186,18,23.004547
4.944177,14,23.405429
4.959221,13,23.781082
4.30041,12,24.115102
5.951885,14,24.498302
6.535621,16,24.935287
1.109112,14,25.305988
5.347809,14,25.674166
6.663652,18,26.184949
6.377672,15,26.609768
5.492369,13,26.976661
5.65272,13,27.341972
5.333367,13,27.696823
7.022178,16,28.153539
7.315113,16,28.597807
7.0367,17,29.108373
5.640263,13,29.473807
5.080871,13,29.84079
5.288366,14,30.245647
5.565389,13,30.625736
5.438612,13,31.000965
5.928241,14,31.399919
6.070002,16,31.845727
4.074043,12,32.16683
3.774445,11,32.484051
6.122854,14,32.879445
6.632011,15,33.303231
4.756469,13,33.676063
7.471615,18,34.173199
6.286866,16,34.620084
6.491101,16,35.065727
4.657947,12,35.407743
5.870131,14,35.812016
5.165634,13,36.175989
6.063589,15,36.614156
5.363672,14,36.999426
4.685745,13,37.371261
6.783934,15,37.799098
5.418508,13,38.144688
1.458068,15,38.56598
4.894359,13,38.942532
4.231541,12,39.291281
6.023948,15,39.710675
5.304533,13,40.085714
4.651729,13,40.446117
5.47582,13,40.822708
0.513094,14,41.233685
5.352235,13,41.576945
1.374089,16,42.028653
4.78758,12,42.366359
4.791555,13,42.74806
2.366627,17,43.22149
5.24163,14,43.622055
4.063639,12,43.95762
