#{"t_start": 1773975674.3756948, "env_id": "continuous-highway-v0"}
r,l,t
2.20764,16,9.556929
6.761441,16,10.019138
4.516698,13,10.399245
5.197178,13,10.773654
6.229053,16,11.214159
6.164586,15,11.659552
6.953283,16,12.142051
0.789656,14,12.573143
1.538942,14,12.983892
5.285084,14,13.393235
5.291948,13,13.774207
5.736475,14,14.180957
4.520877,12,14.530535
5.866894,15,14.9625
5.957366,14,15.353597
1.394208,15,15.793781
2.292136,16,16.288154
7.045217,16,16.752328
6.31795,15,17.180385
6.555541,14,17.570891
4.952511,13,17.970361
4.491767,12,18.322897
4.488255,12,18.688036
6.735938,16,19.16018
5.009577,13,19.550299
5.570763,13,19.936841
5.310493,14,20.342794
0.752215,14,20.753624
0.738921,14,21.143674
5.307861,13,21.523981
0.454752,14,21.92644
6.629453,15,22.321112
5.36093,13,22.679343
6.404733,15,23.094261
5.873692,15,23.511744
4.458193,12,23.961913
5.403878,14,24.361559
5.047886,13,24.725142
4.713815,13,25.083206
6.216024,15,25.502064
5.37393,13,25.875351
5.992954,15,26.39095
1.297334,15,26.816804
5.017807,13,27.165208
5.647784,14,27.534925
1.984527,15,27.944395
7.22455,17,28.415681
1.568525,16,28.856718
5.300009,13,29.224577
4.614295,12,29.540969
5.583009,14,29.92149
6.771565,15,30.324083
5.493714,13,30.693435
6.12495,14,31.073808
4.668059,12,31.402929
6.312044,15,31.818499
4.585908,12,32.14817
4.957965,13,32.51725
4.495254,13,32.886096
1.574166,15,33.304083
5.931591,15,33.722449
5.874196,14,34.101489
7.230014,16,34.540128
5.268445,13,34.906967
6.139778,14,35.294014
5.984037,14,35.681453
5.876434,14,36.055456
5.161693,13,36.394868
1.785286,15,36.809707
4.685834,12,37.152435
5.034325,15,37.567281
4.576694,12,37.896857
7.157516,17,38.362106
4.785624,13,38.730151
4.262817,13,39.098196
5.025712,13,39.464877
4.31761,12,39.779407
6.365429,15,40.193117
6.511087,15,40.611615
6.681008,15,41.027776
5.739191,14,41.418907
5.479763,14,41.808665
5.891297,15,42.238024
5.010838,13,42.606577
4.808977,12,42.936182
6.320894,15,43.352593
6.674003,15,43.757724
5.275231,13,44.12728
1.294436,14,44.518516
5.440877,15,44.922831
5.673608,13,45.279652
5.317791,13,45.647182
6.445302,17,46.112341
0.611732,14,46.504175
5.750474,13,46.875026
6.171045,15,47.293427
5.544065,13,47.663248
5.175561,13,48.018627
5.665372,14,48.411241
5.155569,14,48.803964
7.487924,17,49.270446
1.761995,16,49.713252
5.238375,13,50.088392
5.947804,14,50.46641
5.763199,15,50.871667
4.334523,12,51.189685
4.802465,12,51.537783
2.109243,15,51.957682
5.137745,13,52.313668
1.541285,15,52.731495
4.555873,13,53.101852
5.61638,15,53.519188
6.222477,14,53.912937
5.519945,14,54.288759
6.013857,15,54.675487
6.306543,15,55.076342
5.426888,14,55.466793
5.268385,13,55.820077
5.559848,14,56.197694
7.691213,17,56.663201
6.614567,15,57.067103
6.332067,15,57.499361
5.544345,13,57.867459
6.579261,15,58.286451
7.319473,17,58.749629
5.780426,15,59.152824
6.734608,16,59.60785
5.23778,13,59.962743
6.744916,15,60.408152
6.356382,14,60.857285
6.511133,16,61.309702
5.310723,13,61.672225
5.803414,14,62.062608
5.22241,14,62.478723
5.568799,15,62.908899
6.257739,14,63.306723
4.428661,12,63.645351
