#{"t_start": 1774006238.2801259, "env_id": "continuous-exit-v0"}
r,l,t
-3.497012,5,7.763515
1.256246,4,7.989824
0.529386,2,8.107995
-3.271272,5,8.367212
0.546204,2,8.487191
0.526808,2,8.605962
2.675373,7,9.002354
-2.888841,6,9.349629
0.530873,2,9.467905
0.861796,3,9.610531
0.536652,2,9.734459
0.530976,2,9.851822
0.529035,2,9.95233
0.534545,2,10.051646
0.914842,3,10.220456
0.518148,2,10.340873
0.549382,2,10.458758
0.557493,2,10.562653
0.897254,3,10.722996
2.174991,6,11.060467
-2.498325,6,11.380223
0.97437,3,11.556314
-3.548894,4,11.77132
1.322333,4,12.00528
2.55881,7,12.401779
1.29923,4,12.6242
0.53236,2,12.741728
1.481776,5,13.019086
0.900906,3,13.194964
-1.119063,9,13.671299
-3.144864,5,13.927103
3.147797,9,14.406645
0.522283,2,14.52402
-3.505118,4,14.704805
0.537805,2,14.802951
-2.607343,6,15.101599
0.568991,2,15.223009
0.50871,2,15.320445
-3.4761,4,15.536965
0.865087,3,15.714247
0.542961,2,15.812531
0.54365,2,15.911033
0.338856,2,16.028703
2.166783,6,16.343143
1.262197,4,16.558047
0.986857,3,16.716924
0.516826,2,16.8338
0.89838,3,16.991241
-3.300043,5,17.26615
0.350772,2,17.381289
2.505973,7,17.757153
0.898768,3,17.93312
0.538199,2,18.049136
2.300885,7,18.425577
1.263284,4,18.641486
0.54846,2,18.741354
1.217025,4,18.96159
0.506744,2,19.077735
0.924259,3,19.251433
2.265563,7,19.625083
0.550433,2,19.722484
0.868336,3,19.881734
0.978815,3,20.03935
0.958828,3,20.215935
0.503222,2,20.334522
0.505717,2,20.449626
0.515666,2,20.547974
0.853934,3,20.705105
0.315565,2,20.821629
0.922669,3,20.995936
0.513301,2,21.112879
1.487363,5,21.384987
0.882718,3,21.539953
0.714675,3,21.698441
0.521551,2,21.817771
1.573674,5,22.095717
0.565174,2,22.193622
0.841778,3,22.332574
-2.041494,7,22.698903
0.557176,2,22.814609
0.335217,2,22.931764
1.27352,4,23.147566
0.530397,2,23.266733
1.643175,5,23.540449
0.494058,2,23.656003
-2.50902,6,23.971873
-3.10177,5,24.265417
3.210065,8,24.717495
0.522315,2,24.83489
0.318346,2,24.950379
0.539913,2,25.065253
1.725294,5,25.340452
1.506168,5,25.598097
1.229782,4,25.818769
0.511734,2,25.934473
1.168234,4,26.149825
0.520829,2,26.268118
0.522204,2,26.385638
0.327945,2,26.501825
2.279933,6,26.837779
0.542768,2,26.935611
-2.978379,5,27.197509
0.529931,2,27.297084
0.506862,2,27.414561
3.466422,8,27.86822
0.537559,2,27.985073
1.07038,4,28.183075
0.537488,2,28.300992
0.539542,2,28.417942
1.511768,5,28.655188
0.478241,2,28.77213
2.082117,6,29.106478
0.532216,2,29.223135
4.693219,12,29.857952
0.51243,2,29.955431
0.355444,2,30.052566
0.545525,2,30.152194
0.514691,2,30.256188
1.79039,6,30.557878
1.477212,5,30.835185
0.489039,2,30.950308
-3.079707,5,31.209494
0.54312,2,31.326422
3.113989,8,31.776006
-2.969933,5,32.032666
0.727065,3,32.208339
2.430929,6,32.510652
0.887903,3,32.687731
1.082375,4,32.90116
0.89632,3,33.075024
0.337932,2,33.17363
2.093868,6,33.477228
0.509687,2,33.575732
0.561738,2,33.675337
0.930232,3,33.818444
0.515694,2,33.936993
0.741072,3,34.115391
0.551523,2,34.234095
0.332742,2,34.352679
1.787346,5,34.627807
-0.074658,11,35.262878
0.531554,2,35.379867
0.550757,2,35.477226
3.446175,9,35.955269
0.516441,2,36.0709
0.895283,3,36.244912
0.527867,2,36.343249
0.994026,3,36.521568
0.893234,3,36.677981
0.532328,2,36.777076
0.571114,2,36.874974
0.535619,2,36.990659
-3.505102,4,37.187619
0.906893,3,37.361749
0.351298,2,37.480102
0.550875,2,37.59544
0.336732,2,37.693462
1.308412,4,37.892811
3.58402,10,38.426405
1.286311,4,38.641495
4.121418,10,39.177457
0.538943,2,39.276491
0.555433,2,39.396862
0.89547,3,39.558559
2.122938,6,39.890504
-0.145815,12,40.510734
2.183682,6,40.823893
2.190429,6,41.15937
0.49793,2,41.275075
-2.714871,6,41.615106
0.537092,2,41.712343
-3.596876,4,41.912016
0.877111,3,42.07368
2.811051,7,42.451766
0.532135,2,42.54948
0.514362,2,42.649863
0.508765,2,42.750643
0.495514,2,42.869767
0.531108,2,42.987023
0.887816,3,43.143987
0.494409,2,43.242633
0.55531,2,43.34248
0.319763,2,43.443386
0.524348,2,43.544774
0.569667,2,43.645417
1.365038,4,43.863334
2.019139,7,44.205504
1.66236,5,44.46625
-2.762691,6,44.764533
0.541561,2,44.881665
0.945808,3,45.037583
0.555848,2,45.136124
1.259268,4,45.338415
0.528182,2,45.456821
1.509767,5,45.71549
0.48605,2,45.832244
0.535108,2,45.948186
1.683156,5,46.206041
0.53012,2,46.320507
0.532719,2,46.418417
0.359528,2,46.516902
0.988729,3,46.676132
0.529229,2,46.774243
1.277733,4,46.972221
3.558679,9,47.44698
1.211077,4,47.668006
1.525573,5,47.926135
0.522176,2,48.043858
0.336419,2,48.158683
0.348777,2,48.257211
2.512519,7,48.636699
0.854255,3,48.792008
0.347706,2,48.907552
2.007019,6,49.24141
0.557575,2,49.356822
1.449093,5,49.634002
1.539615,5,49.893862
0.720807,3,50.050314
1.871082,6,50.383351
0.543286,2,50.480449
0.544402,2,50.578987
0.723764,3,50.73962
0.499016,2,50.838387
0.52971,2,50.954101
0.54792,2,51.071185
1.307279,4,51.270491
0.541921,2,51.387985
0.521821,2,51.50328
0.517326,2,51.620192
2.308431,7,51.991534
1.135941,4,52.223516
0.56057,2,52.321399
1.629637,5,52.598215
0.970797,3,52.754738
2.034165,6,53.092753
-1.567418,8,53.529142
1.651463,5,53.803117
1.55954,5,54.061194
1.267599,4,54.25759
0.525581,2,54.375213
0.521627,2,54.493366
0.316982,2,54.60848
0.105974,12,55.232941
0.490341,2,55.332515
0.526295,2,55.431784
0.531104,2,55.55112
0.95739,3,55.708837
0.938413,3,55.866904
2.107532,6,56.15178
0.532675,2,56.268699
0.545674,2,56.388139
0.55428,2,56.507803
0.891005,3,56.684245
0.91126,3,56.84097
0.505853,2,56.937826
1.416746,4,57.15579
0.539167,2,57.270578
1.886693,6,57.603446
-3.092018,5,57.8599
0.514882,2,57.957382
1.511641,5,58.231806
-2.2417,6,58.548155
1.245612,4,58.783608
1.968867,6,59.098921
0.519316,2,59.215595
0.58539,2,59.335289
0.519424,2,59.451607
0.973175,3,59.627197
0.545047,2,59.72527
0.867863,3,59.899524
0.560535,2,60.014328
0.501786,2,60.130582
0.893151,3,60.286103
0.533257,2,60.402194
0.524979,2,60.521148
0.939412,3,60.699334
0.513911,2,60.817011
0.729896,3,60.972502
0.577702,2,61.090708
0.591725,2,61.207726
1.367322,4,61.42149
0.563268,2,61.518411
0.501535,2,61.616561
0.560983,2,61.714836
0.371851,2,61.833378
0.448392,2,61.9484
3.415268,9,62.407405
2.075415,6,62.762632
0.53392,2,62.881349
0.530355,2,62.97959
0.87261,3,63.118991
-1.977663,7,63.498888
0.527001,2,63.596345
-2.224345,7,63.954672
0.534721,2,64.072244
-2.675052,6,64.410326
1.299625,4,64.62455
0.545264,2,64.72282
0.32326,2,64.842043
0.5445,2,64.959
1.345805,4,65.173328
1.530349,5,65.429018
0.880319,3,65.585973
0.51937,2,65.701866
0.546816,2,65.819587
0.5794,2,65.936842
0.556209,2,66.05174
0.844206,3,66.210098
1.678205,5,66.451364
1.441816,5,66.692083
0.350994,2,66.790094
0.502061,2,66.887464
0.557842,2,66.986685
0.354607,2,67.105745
0.544615,2,67.222032
3.548536,9,67.717061
0.516764,2,67.832402
-3.370172,5,68.090939
0.328899,2,68.207243
0.818872,3,68.36383
0.915916,3,68.524766
-1.668757,8,68.894707
3.549249,9,69.349369
0.551251,2,69.447162
0.536715,2,69.566486
0.961902,3,69.722398
0.5412,2,69.839732
0.541512,2,69.955361
0.512378,2,70.071147
0.541258,2,70.189386
-3.160277,5,70.449154
0.54805,2,70.546794
0.549206,2,70.663519
-2.359394,6,70.980064
1.536424,5,71.253065
-3.047206,5,71.507696
0.514544,2,71.605553
0.910368,3,71.76244
0.542129,2,71.881074
0.56113,2,71.997117
1.771938,5,72.252855
0.537648,2,72.367829
0.549173,2,72.466639
