#{"t_start": 1773752806.4765213, "env_id": "continuous-highway-v0"}
r,l,t
1.811783,15,5.886245
4.938293,13,6.281169
5.115018,13,6.77871
6.471859,15,7.203156
5.665505,14,7.601054
5.444029,14,7.991516
1.104104,15,8.394608
5.085872,14,8.74297
0.504104,13,9.05717
5.503982,14,9.419674
6.008885,15,9.792202
5.237886,13,10.11801
4.8732,13,10.453444
5.391034,14,10.815398
5.186937,13,11.155293
2.329103,18,11.633698
5.432943,13,11.973001
5.266528,13,12.31217
4.686107,14,12.675093
7.186955,17,13.115524
5.607966,14,13.487042
6.147721,14,13.860848
6.307095,15,14.255936
5.779614,14,14.630056
6.324707,14,15.00211
5.969765,14,15.375131
5.202356,13,15.726788
4.987469,13,16.07653
5.205617,14,16.448761
0.49416,13,16.80027
1.861486,15,17.229409
5.831,15,17.727438
5.639682,14,18.161479
4.502325,13,18.528794
6.75693,16,18.965065
5.455803,14,19.368034
4.626298,12,19.718545
6.578456,17,20.367131
5.482286,13,20.877306
6.37171,16,21.321762
1.139829,14,21.714796
6.085202,14,22.093364
5.766605,14,22.485817
4.769823,12,22.810455
5.460056,13,23.195656
6.3193,15,23.672247
6.273025,15,24.080956
6.25154,16,24.510875
4.509707,12,24.835557
0.899785,13,25.182533
1.38519,15,25.573198
6.78317,15,25.971947
0.967168,15,26.36995
5.361683,14,26.731419
5.337487,14,27.105237
4.721936,12,27.436511
5.427235,13,27.790081
6.257102,15,28.189097
6.313405,15,28.575508
4.324597,12,28.903854
4.724494,13,29.246738
4.883274,12,29.627004
4.946657,12,30.014503
5.211193,13,30.454436
6.686613,15,31.008782
5.512689,14,31.407402
6.129808,14,31.802341
2.506915,16,32.237976
6.280114,15,32.646186
1.320761,14,33.021699
4.954299,13,33.363079
1.346525,15,33.762766
4.511744,12,34.09103
5.167359,13,34.441897
3.769368,12,34.741996
4.838924,13,35.08016
5.803765,14,35.467569
2.373785,17,35.922494
5.754465,14,36.285403
5.647762,14,36.649088
1.434727,15,37.03097
5.085323,13,37.383833
4.951118,13,37.735722
6.825453,16,38.156029
6.951285,16,38.562567
4.716825,13,38.887275
4.822309,13,39.238323
5.886047,14,39.59867
6.994969,17,40.05569
1.790564,15,40.510404
5.081522,13,40.932838
5.946705,14,41.30275
0.727952,14,41.691071
5.578829,14,42.076206
7.452039,16,42.512997
5.130129,13,42.865266
2.467236,17,43.308636
5.104717,13,43.905976
6.254707,15,44.36455
5.187754,13,44.735352
1.836651,15,45.157839
5.127849,13,45.528399
7.401295,16,45.958789
2.219819,16,46.379239
5.154657,13,46.718499
4.90841,13,47.057021
5.692557,14,47.420612
5.423119,13,47.77293
6.916967,16,48.193017
5.687507,14,48.56953
5.742395,14,48.941849
5.754193,14,49.316364
0.028129,13,49.654495
5.807308,15,50.052287
4.660261,12,50.352864
1.452049,16,50.785563
6.605869,15,51.197894
6.461076,15,51.581009
4.629882,13,51.920499
5.416533,13,52.258916
5.606121,14,52.605894
5.866905,14,52.95212
7.024727,16,53.38436
6.116625,15,53.779201
6.003692,14,54.154278
5.801349,15,54.550536
6.394264,15,55.043397
6.772376,15,55.710948
4.723731,13,56.07776
6.105276,15,56.481266
1.16909,15,56.897749
1.436007,16,57.339287
5.454678,14,57.689044
4.863146,13,58.042289
5.878204,14,58.417549
5.333273,14,58.780087
5.663418,14,59.170537
5.273692,13,59.494455
5.567292,13,59.84647
5.530918,14,60.20924
4.750942,13,60.548527
5.466905,13,60.885424
6.715686,17,61.45483
5.199094,13,61.805648
0.360605,14,62.162822
5.489479,14,67.172444
5.842857,13,67.527629
5.571287,13,67.88462
5.082538,13,68.334075
5.356845,14,68.73276
5.055894,14,69.105825
5.738701,14,69.478656
0.928354,14,69.867696
5.455813,14,70.24587
5.314795,14,70.607007
5.536152,14,70.982223
7.119796,15,71.380478
5.327219,14,71.752394
6.300312,15,72.147028
5.829932,14,72.506604
2.206771,16,72.922518
6.270345,15,73.317399
6.775036,16,73.910768
1.00067,15,74.460954
5.162223,13,74.828876
4.778715,12,75.136446
6.249097,14,75.520578
5.493368,14,75.904139
5.888428,14,76.274935
5.789816,14,76.647978
5.488608,14,76.992429
4.430527,12,77.297527
1.524433,15,77.682991
6.037943,13,78.040348
5.348223,13,78.456507
4.539618,13,78.859293
0.94485,14,79.254577
5.238933,14,79.634892
6.067915,15,80.052019
5.370979,14,80.425106
6.120346,14,80.785743
5.686336,14,81.146169
5.45895,13,81.498386
6.772733,15,81.895885
6.086671,15,82.294483
5.645441,15,82.693166
5.888505,15,83.090921
0.921104,14,83.464816
6.575007,14,83.839797
6.144042,14,84.220254
4.806579,13,84.563748
4.185758,12,84.87901
