#{"t_start": 1774002460.6492374, "env_id": "continuous-highway-v0"}
r,l,t
6.5031,15,7.051035
5.808773,13,7.402383
5.016811,13,7.770605
5.460548,14,8.180146
5.115089,13,8.561538
6.155802,15,8.993535
5.615278,14,9.363843
5.813298,14,9.763963
2.114411,16,10.197699
4.689882,12,10.520969
4.896339,13,10.877515
5.36947,14,11.254559
4.867932,13,11.60787
6.140481,14,12.000863
5.516249,13,12.353197
4.691614,13,12.698668
0.799857,14,13.09322
6.971966,15,13.501442
5.686962,15,13.905094
7.258672,17,14.369939
5.951448,14,14.746155
6.669932,15,15.159664
4.933107,13,15.525006
5.040056,13,15.884022
5.232861,13,16.236266
4.369108,11,16.526725
5.393919,13,16.87791
6.318476,17,17.319979
5.479169,14,17.693758
5.172382,13,18.045092
5.262021,14,18.420148
1.586436,16,18.838406
5.81841,15,19.227623
6.465678,15,19.622585
5.156288,13,19.972528
4.738056,12,20.305103
4.847298,12,20.624882
4.588995,12,20.952087
6.085194,14,21.337734
6.101028,14,21.713014
5.093861,14,22.088349
4.944254,13,22.424974
5.838571,14,22.79058
5.288648,13,23.12677
5.434828,14,23.51508
1.510085,15,23.912018
4.25919,12,24.22527
5.034932,13,24.56615
6.665875,14,24.939593
5.128954,13,25.281483
1.440819,14,25.645557
5.5882,14,26.005847
6.526727,16,26.425498
4.554299,12,26.739132
1.984898,16,27.157505
6.292681,14,27.531533
5.4786,13,27.882905
5.685061,14,28.254499
5.388322,13,28.5939
5.087948,13,28.943422
5.554486,14,29.303685
5.097222,13,29.654228
0.586236,13,29.991839
6.203283,14,30.348519
4.982808,13,30.685944
0.1296,13,31.019151
4.235109,12,31.329853
1.505283,14,31.699912
1.799512,15,32.104906
6.24573,16,32.521699
5.210116,13,32.870592
5.228316,13,33.206949
2.205287,16,33.626281
5.063014,14,34.002036
5.890289,14,34.373631
5.818903,14,34.747247
0.49769,13,35.083573
4.394426,12,35.39689
4.724229,12,35.727244
4.645997,13,36.077607
1.129408,14,36.438049
5.668417,14,36.797176
6.538303,16,37.217365
5.568161,13,37.568016
5.069027,14,37.940478
6.164594,14,38.288014
5.548796,13,38.625492
4.224091,12,38.952729
4.55922,12,39.25197
6.46554,14,39.624785
5.009709,13,39.948069
1.464527,15,40.344965
1.466145,15,40.746802
5.363263,13,41.071447
0.557947,14,41.445044
5.346835,13,41.795398
6.128504,14,42.168985
0.285193,13,42.520074
5.295259,13,42.871242
5.518849,13,43.199061
6.500716,15,43.582753
4.687911,13,43.934759
5.556368,14,44.308694
1.056896,14,44.685412
5.531747,13,45.036424
6.360609,15,45.445506
5.81441,13,45.787683
0.387465,13,46.125762
2.106723,16,46.533363
0.214489,13,46.885849
5.242065,13,47.224689
4.551948,12,47.528605
1.056755,14,47.901644
6.273573,14,48.273571
5.605631,13,48.622167
6.364763,15,49.016974
6.30383,14,49.375255
5.564056,14,49.74732
5.83966,13,50.070482
5.144127,13,50.43403
5.985016,14,50.796918
6.03505,15,51.179703
1.589805,15,51.575565
6.461974,15,51.957964
6.144612,14,52.304337
5.52204,14,52.663836
6.08164,14,53.049942
4.649822,12,53.364917
5.821994,14,53.737212
5.82137,14,54.110888
4.783457,12,54.439043
5.834801,14,54.813491
6.026878,14,55.173713
4.461737,12,55.491661
0.902135,14,55.867559
6.73178,15,56.251084
5.712338,15,56.633338
6.559374,14,57.005192
6.830726,15,57.401779
4.691189,12,57.716677
4.745991,12,58.030493
6.945012,15,58.426933
0.914882,14,58.800247
0.734672,14,59.162023
4.024805,12,59.475188
1.250426,14,59.847545
1.440264,15,60.232799
4.130259,12,60.537366
6.737892,16,60.955656
1.57169,15,65.733676
6.726749,17,66.160605
5.297513,13,66.515755
5.069976,13,66.873111
6.374897,15,67.27474
4.718574,12,67.582098
6.440963,15,67.984155
3.82795,11,68.277898
6.175968,15,68.671198
5.122208,13,69.023679
5.361476,14,69.399182
5.43631,13,69.742136
6.379756,14,70.120912
6.467989,16,70.547174
5.588985,14,70.913383
5.698028,14,71.278217
5.24316,13,71.621209
1.495249,15,72.024762
1.558532,14,72.406165
6.509736,15,72.822634
5.991786,15,73.217342
4.540468,13,73.553537
5.347902,13,73.89069
6.097338,15,74.287678
5.237684,13,74.624801
6.043103,15,75.00865
5.844391,14,75.372618
5.950436,14,75.738867
6.528335,15,76.12116
5.789772,14,76.468252
6.198232,15,76.837779
1.284021,15,77.234586
5.140669,13,77.572307
5.14682,13,77.923771
7.021401,17,78.366086
6.395034,15,78.75061
0.401126,13,79.102715
6.546629,15,79.500609
6.105563,15,79.884601
5.993555,14,80.259921
6.488859,15,80.660211
4.888899,13,81.010778
8.145164,18,81.492151
5.745825,14,81.8675
6.283159,15,82.251232
6.117121,15,82.648341
0.922586,14,83.010592
5.428258,14,83.386459
5.736027,14,83.75899
4.633568,12,84.075128
6.973483,15,84.460152
4.87378,13,84.797722
5.865023,15,85.194889
0.993274,14,85.573671
4.983387,12,85.889714
6.508892,15,86.286339
7.060126,16,86.706589
6.642149,17,87.164109
5.827642,13,87.514071
5.48443,14,87.873012
4.897365,13,88.195962
6.650892,15,88.60487
5.241847,13,88.941322
0.291571,13,89.291892
5.65093,14,89.663987
6.870088,15,90.060624
5.824357,14,90.421162
6.145826,15,90.821792
6.088446,14,91.182073
4.99544,13,91.533066
6.671826,16,91.965605
5.104856,13,92.302128
5.424548,13,92.638834
6.450139,16,93.05825
0.457373,13,93.383951
5.43965,13,93.72063
5.441036,14,94.080514
2.054163,15,94.478433
5.550689,13,94.816301
4.761548,13,95.153501
5.846678,14,95.528793
2.565575,15,95.92925
1.090067,15,96.32593
1.058328,14,96.684758
5.923265,13,97.006592
6.175787,14,97.368527
4.924004,12,97.670661
4.665189,13,98.007665
4.915612,13,98.359366
4.926113,13,98.712432
5.121355,13,99.062932
1.204034,15,99.461761
0.909423,14,99.835286
6.486485,15,100.23213
5.660838,14,100.610769
5.38284,13,100.963024
4.404301,12,101.291224
5.946211,14,101.652972
5.50446,13,101.991988
5.462769,14,102.351444
4.53174,12,102.680047
5.4484,13,103.031607
4.784139,12,103.349107
5.106734,13,103.698464
6.971898,15,104.093484
5.82099,15,104.490024
5.679534,14,104.852222
5.941656,14,105.213991
5.203309,13,105.566854
5.556485,14,105.939149
6.8886,15,106.333737
6.115004,15,106.728747
4.334136,12,107.057472
6.154007,14,107.41719
1.571773,15,107.812281
5.422296,13,108.148769
4.596741,12,108.475388
5.334469,13,108.825608
3.933027,11,109.117702
5.155752,13,109.454623
6.269618,15,109.835845
4.971523,12,110.13726
5.15138,14,110.512164
5.107297,13,110.839098
6.771116,15,111.235414
4.971544,13,111.558537
5.840538,14,111.907195
0.403439,13,112.245908
6.034802,14,112.619803
1.286993,14,112.967156
6.691198,16,113.388673
