#{"t_start": 1774011981.3242242, "env_id": "continuous-highway-v0"}
r,l,t
6.487033,15,11.335785
6.2569,15,11.71616
4.789256,12,12.038356
5.900828,14,12.408697
0.421996,13,12.749335
5.678324,14,13.13711
6.418281,15,13.53455
1.993664,16,13.97198
1.899851,15,14.372018
4.865191,13,14.737841
0.876257,14,15.115023
0.677595,13,15.450201
5.798452,14,15.820537
6.319051,15,16.215881
5.890489,14,16.587785
4.397505,12,16.898773
5.609319,14,17.268189
6.366805,15,17.66075
5.047555,13,18.009526
6.519027,16,18.419775
5.255008,13,18.751589
7.506561,16,19.176064
0.970741,14,19.544415
4.789426,12,19.854622
5.329514,15,20.259408
4.77469,12,20.570427
6.808781,15,20.965836
6.279164,15,21.370506
5.361193,14,21.775201
4.836392,13,22.129513
5.781912,14,22.508334
5.96767,15,22.901487
5.702643,13,23.238765
5.643864,14,23.610405
6.62615,16,24.027626
-0.051079,12,24.354707
5.151333,14,24.728295
5.127388,13,25.076809
1.81413,15,25.475862
5.749008,13,25.830304
5.484512,13,26.187055
0.268414,13,26.569139
5.921578,15,26.975129
4.26764,12,27.295315
4.738139,12,27.625227
6.656239,17,28.061055
5.558778,13,28.396372
0.695133,13,28.749545
2.703444,17,29.198306
5.646667,14,29.55548
5.701197,14,29.914211
5.481004,13,30.264861
6.026698,15,30.663751
4.464337,12,30.980249
6.166175,15,31.365234
2.187974,15,31.781611
5.894351,14,32.155079
1.963532,16,32.577689
5.578602,13,32.901039
4.648699,12,33.213917
5.176936,14,33.573264
5.216849,13,33.924734
5.53936,14,34.297724
1.850742,16,34.714123
0.126182,13,35.047789
4.623148,12,35.359416
-0.458918,12,35.684409
5.172087,13,36.017184
2.285895,17,36.451977
5.429561,13,36.787992
6.117659,15,37.276555
5.894121,14,37.624949
6.797016,16,38.029008
5.506509,14,38.399786
1.703686,16,38.789128
5.949088,14,39.146582
5.040996,13,39.483495
5.526027,13,39.818668
4.892391,13,40.141781
3.883054,12,40.453465
5.678702,14,40.824594
1.14341,14,41.19589
6.110382,15,41.587484
6.459305,15,41.981648
4.982339,12,42.308589
6.406233,15,42.781507
1.591488,15,43.180354
0.768594,15,43.593227
5.396729,15,44.002653
6.40456,15,44.401231
5.61567,14,44.774841
6.271946,15,45.171602
4.461637,12,45.497968
5.824343,14,45.869467
5.483168,14,46.242062
6.06581,14,46.614604
5.929973,14,46.986121
0.178628,13,47.334209
5.874579,14,47.692031
0.961846,14,48.064056
5.420487,13,48.412649
4.50238,12,48.727403
