#{"t_start": 1773678023.1188908, "env_id": "continuous-highway-v0"}
r,l,t
5.754441,15,6.016603
6.64253,15,6.426567
4.520247,13,6.76731
6.567511,15,7.170526
1.188263,15,7.57258
5.950935,15,7.957512
6.931991,16,8.398592
5.588968,14,8.759893
4.857651,12,9.091746
5.326773,14,9.464898
6.509993,16,9.898903
5.726798,14,10.262325
1.80055,15,10.65898
5.318038,13,11.012787
4.828848,13,11.366773
5.209601,13,11.707261
6.486183,15,12.107552
7.216644,17,12.552727
5.641739,13,12.892066
5.934884,15,13.295819
6.008032,14,13.654331
6.097557,15,14.050564
6.016223,15,14.44535
5.89882,15,14.826956
2.317725,16,15.264287
5.524676,14,15.636391
1.181537,15,16.034887
4.108183,12,16.349176
4.028796,11,16.627712
5.578274,13,16.96597
5.15811,13,17.301984
6.67394,16,17.72069
5.037711,13,18.057524
5.623883,14,18.42978
5.514037,14,18.815411
5.686774,14,19.173716
7.366506,16,19.603766
5.80435,13,19.939576
4.907968,13,20.281523
5.055825,13,20.6165
2.26327,17,21.083941
5.033236,13,21.436123
5.819361,14,21.815604
5.325435,14,22.176759
6.262957,14,22.540534
5.817286,14,22.900997
7.263517,17,23.346261
1.223198,14,23.71962
5.583176,14,24.092929
4.616738,12,24.423508
6.059444,14,24.796039
4.608968,12,25.110715
6.075378,15,25.505574
5.336155,14,25.884515
1.550906,14,26.244086
6.484935,16,26.678133
5.27219,13,27.015898
6.53615,16,27.449755
6.054985,14,27.809405
5.076315,13,28.135675
4.452077,12,28.436699
5.809371,14,28.797267
6.082223,14,29.16907
1.458699,14,29.539999
4.840104,13,29.873371
6.383499,14,30.242744
5.291886,13,30.591292
2.053621,16,30.996249
3.634592,11,31.297864
1.851298,15,31.692317
6.023022,14,32.066653
5.951739,14,32.42341
4.485878,12,32.74863
5.730512,14,33.107803
1.375481,14,33.46579
5.613073,14,33.824764
5.531345,14,34.182188
4.614063,12,34.506763
5.814144,14,34.865464
6.962857,17,35.305073
4.918095,13,35.640894
6.70809,16,36.071311
6.01453,14,36.430712
0.31944,13,36.779404
5.452557,14,37.151695
5.758999,13,37.500166
5.260156,14,37.87352
6.133407,15,38.265994
6.028953,15,38.659677
4.590008,12,38.973834
5.021017,13,39.322376
5.218048,13,39.659031
6.478303,15,40.05545
5.239249,13,40.3924
5.075667,13,40.741097
4.04381,12,41.054825
6.46627,16,41.472422
6.230659,14,41.844511
5.63962,14,42.216233
6.094671,15,42.613127
6.708349,15,43.010235
0.440791,13,43.363144
1.20838,14,43.736126
1.928731,17,44.179644
6.435433,14,44.542689
5.077914,13,44.89543
5.167175,13,45.23153
5.404747,13,45.553835
5.737191,14,45.913345
1.926655,15,46.322284
4.46208,12,46.623783
5.957275,15,47.017891
0.392292,13,47.367463
5.587158,14,47.745033
