#{"t_start": 1773954877.5919094, "env_id": "continuous-highway-v0"}
r,l,t
6.406111,14,6.279093
2.675553,17,6.858157
6.750919,16,7.410072
4.579622,12,7.822843
6.136617,16,8.343991
5.229235,15,8.828584
5.719704,14,9.27442
5.042515,13,9.709746
6.7829,16,10.227005
4.798409,13,10.659095
4.550148,12,11.066782
5.265759,13,11.490417
6.330993,15,11.980232
6.043317,16,12.500343
5.469843,15,13.004159
6.031984,14,13.480741
6.289566,15,13.993548
6.56429,16,14.507264
6.457664,14,14.971118
5.734074,13,15.383171
5.043318,13,15.813822
5.71923,14,16.258116
5.675657,14,16.717739
5.864665,13,17.150337
2.382373,16,17.666893
0.933784,14,18.126308
4.972731,12,18.528726
1.91054,16,19.042318
4.26139,12,19.44273
5.59247,13,19.848155
1.284726,15,20.323145
6.109018,14,20.76806
5.887472,14,21.226664
6.525802,14,21.686676
6.091022,15,22.176326
5.553569,14,22.633665
5.816614,15,23.139474
5.067526,13,23.572906
6.158106,15,24.064438
3.947386,12,24.455185
6.194692,14,24.917018
4.8759,12,25.320037
5.236271,13,25.751566
6.066881,14,26.211069
4.787064,13,26.639786
4.9776,13,27.060609
6.240563,15,27.551995
4.499083,13,27.985695
6.377617,14,28.432679
4.777522,13,28.854796
5.55974,14,29.296548
5.822921,14,29.756557
4.895034,13,30.172429
6.494094,16,30.690989
6.112563,15,31.175311
4.068001,12,31.564216
4.855801,12,31.953113
6.726559,15,32.441425
4.435304,11,32.785925
5.807483,13,33.208296
5.088873,13,33.628508
4.894449,12,34.033439
5.685799,14,34.497272
4.892937,13,34.936742
4.451488,12,35.325029
5.689211,14,35.770831
5.994547,15,36.254642
5.696758,14,36.699757
5.759,14,37.162385
5.510192,13,37.575428
5.855955,14,38.031595
4.721704,12,38.397934
7.121619,16,38.892906
0.188553,13,39.311887
5.925489,13,39.722413
6.189171,14,40.146517
4.428943,12,40.514135
5.274278,14,40.969572
0.771607,14,41.409859
5.740113,14,41.856776
5.123,14,42.297234
3.768301,11,42.653311
6.147192,14,43.107285
5.441272,14,43.56624
0.78204,14,44.015021
4.864365,12,44.383185
5.603939,13,44.79566
5.667569,14,45.259573
6.563669,16,45.775136
4.777666,12,46.182427
7.674576,17,46.760439
0.866792,14,47.220802
6.091788,15,47.694474
4.445238,13,48.128519
5.11249,13,48.56604
5.134969,12,48.954459
4.857355,13,49.387629
5.885927,14,49.852262
3.714692,11,50.228103
5.509467,13,50.662125
5.015014,14,51.107286
5.086444,14,51.564266
5.766994,15,52.053588
5.470037,13,52.482258
2.039775,15,52.955646
4.840607,13,53.375597
5.787047,14,53.82222
5.67154,13,54.260767
4.347244,13,54.69436
6.587005,15,55.181554
5.223091,14,55.64879
4.819741,13,56.077544
4.900224,12,56.464505
0.802329,14,56.926066
2.052616,16,57.439073
5.652853,14,57.902708
5.376456,13,58.333386
5.005347,13,58.762969
4.65486,13,59.182404
0.970485,14,59.624594
4.707869,13,60.058322
5.996095,14,60.516838
4.869571,13,60.950979
7.25956,16,61.465676
5.91522,13,61.896698
6.178695,14,62.357906
6.575205,15,62.844395
1.096925,15,63.335299
4.937347,14,63.797405
6.348186,15,64.284988
6.257641,16,64.821017
5.66829,13,65.236952
6.720439,15,65.721681
5.897239,15,66.192845
6.394947,15,66.697835
5.875295,14,67.145338
4.876127,14,67.604467
4.548617,12,67.998463
4.988697,13,68.430749
6.345262,16,68.947945
4.098866,13,69.382969
0.645236,14,69.843414
4.860432,13,70.275515
5.031127,12,70.647226
5.195684,13,71.079039
6.302491,14,71.523252
6.016691,14,71.992612
6.903091,16,72.510874
4.748783,13,77.897445
5.697364,14,78.338996
2.193418,15,78.824824
5.521575,13,79.254637
4.969144,14,79.713009
5.247179,14,80.170596
6.526415,16,80.688904
6.630359,15,81.171271
4.644048,12,81.553287
1.155549,14,82.008936
1.673399,17,82.553908
6.016504,15,83.036784
5.557429,13,83.463817
5.669371,14,83.889355
5.539973,14,84.345119
6.176769,15,84.82651
6.032343,14,85.276396
5.293835,14,85.732952
5.969432,14,86.185112
7.040916,17,86.705895
5.708565,14,87.158462
5.094883,12,87.560054
5.71213,14,88.026685
5.991144,16,88.541892
7.651513,18,89.118417
6.700861,16,89.616416
4.840888,14,90.064953
5.233375,14,90.508159
4.953158,13,90.940367
4.802478,13,91.371212
4.551576,12,91.775355
4.532351,12,92.162089
5.178988,13,92.57985
6.538022,15,93.070685
6.042647,14,93.515146
4.330427,13,93.933439
1.836528,15,94.411058
6.165351,15,94.906337
5.807786,14,95.36371
5.916959,14,95.831143
5.350426,14,96.273366
6.405952,15,96.74527
4.660114,13,97.166546
4.696345,13,97.596752
5.856892,14,98.05525
0.742639,14,98.519121
6.810335,15,99.005125
6.46599,16,99.521514
6.974054,16,100.040992
5.785972,14,100.490639
5.071892,13,100.925089
5.070623,13,101.354929
0.500792,13,101.788724
1.571122,16,102.303406
1.500292,15,102.790982
1.243372,15,103.263941
6.622121,16,103.767396
5.608302,15,104.233517
1.93308,15,104.690479
6.20721,14,105.120871
5.000633,13,105.542737
5.756566,14,106.00326
1.531774,15,106.493716
5.266886,14,106.937878
4.979389,13,107.369783
-0.304255,13,107.793472
6.51519,14,108.2521
0.261231,13,108.686875
1.174669,14,109.145624
5.466551,13,109.558523
5.388699,14,110.005844
5.786283,14,110.463812
5.718506,15,110.938255
7.068462,17,111.482229
5.803359,16,111.993115
6.579759,16,112.50725
4.99854,13,112.938147
4.935726,13,113.356484
5.196479,13,113.789132
6.372194,15,114.280337
6.252049,15,114.769892
5.027564,13,115.202069
5.583347,14,115.665452
5.721544,14,116.125001
5.915501,14,116.583638
5.501826,14,117.041763
6.700144,18,117.632715
5.478881,14,118.082788
6.172109,15,118.55266
7.079658,17,119.097905
1.526272,15,119.573049
5.867958,14,120.032223
6.362506,14,120.4913
4.255709,12,120.877763
4.897513,12,121.26501
5.372457,15,121.772347
6.035958,14,122.214913
5.903203,15,122.701926
4.976407,14,123.160227
4.234504,12,123.560184
1.019121,14,124.020744
5.387464,14,124.48233
6.129947,14,124.944178
5.722986,14,125.404221
4.963909,13,125.837653
5.39204,14,126.287499
0.591213,13,126.704452
4.928226,13,127.103866
5.631949,14,127.554442
1.741949,15,128.042546
5.695858,14,128.50777
5.301341,13,128.942136
5.785079,14,129.401957
2.266591,16,129.907645
5.411442,13,130.340513
6.532988,14,130.801962
4.958828,13,131.217086
2.426583,18,131.80583
1.464384,16,132.317588
4.873179,13,132.745358
5.834807,14,133.202573
6.570727,15,133.686695
2.000111,15,134.158396
4.770604,12,134.560749
5.723308,14,135.016921
4.05229,11,135.377958
5.230338,13,135.811928
6.323254,15,136.301355
3.970219,11,136.662025
5.015947,13,137.09485
4.518453,12,137.482929
5.06663,14,137.944548
5.703134,14,138.391223
5.303337,13,138.824963
5.112141,13,139.239361
5.354413,13,139.663473
7.500427,17,140.208913
7.300312,17,140.724313
6.76379,15,141.20422
6.518484,16,141.722028
6.139171,15,142.192981
0.966354,14,142.653961
5.248613,14,143.095674
5.195326,14,143.554529
5.219923,13,148.878663
5.658537,15,149.381664
0.861026,14,149.834616
1.916721,17,150.419405
4.65663,13,150.839076
5.498625,15,151.339746
6.450629,16,151.869702
2.251591,16,152.407948
5.35423,13,152.814815
5.488535,14,153.264282
6.788013,17,153.813591
5.087423,13,154.225776
1.527212,16,154.741569
1.759523,15,155.231073
6.614099,17,155.774786
-0.18924,13,156.204712
6.64148,16,156.701929
5.73055,15,157.187892
6.108064,15,157.673156
5.997805,15,158.133974
4.861298,13,158.544758
6.045565,16,159.071596
1.618093,16,159.568004
5.114567,14,160.02337
4.935718,14,160.463248
6.016041,15,160.918845
4.79893,13,161.314151
5.452366,14,161.770462
5.440918,14,162.235727
5.639635,14,162.682032
6.447719,16,163.17848
6.225144,16,163.687146
1.844016,16,164.19809
4.18149,13,164.59153
4.900748,14,165.015165
4.718078,13,165.428702
7.056081,16,165.92491
4.912376,13,166.337634
5.746936,15,166.807971
-0.081999,14,167.265312
5.61634,14,167.710822
0.798882,15,168.165184
6.075821,15,168.646169
7.09569,16,169.160033
6.422976,16,169.660316
1.759031,16,170.151278
5.788446,15,170.633675
5.090191,14,171.076371
0.250544,13,171.481421
4.995784,13,171.898574
5.108421,13,172.330428
4.151211,12,172.719667
7.274694,17,173.250756
5.389578,13,173.685652
6.138376,16,174.19801
5.578426,15,174.689625
0.513012,14,175.151104
4.93516,13,175.582504
6.397232,16,176.102102
5.510557,14,176.563085
5.602813,13,176.99613
7.528024,18,177.570606
6.696573,16,178.085568
5.859576,15,178.575176
6.582772,16,179.084924
4.691447,12,179.4742
5.244216,14,179.91328
4.758862,13,180.327584
6.481724,16,180.845416
5.795931,15,181.318539
5.335602,14,181.781171
5.313384,14,182.225513
5.437845,14,182.687919
0.681017,14,183.150003
6.331266,15,183.637737
5.990006,16,184.159619
7.056111,17,184.704843
6.140879,16,185.240905
5.41697,14,185.699035
5.355365,14,186.139937
5.866557,15,186.610924
6.269724,16,187.130624
5.091631,13,187.533375
6.66568,16,188.049223
6.301609,15,188.50615
5.380692,13,188.912167
6.326857,16,189.414677
6.037974,14,189.8711
5.120346,13,190.270997
5.541049,15,190.760333
5.037405,13,191.193207
6.022327,16,191.716368
6.168845,15,192.212293
4.07387,12,192.602336
1.195277,16,193.122216
6.274446,16,193.644043
5.827961,16,194.177808
5.762786,14,194.644865
6.877018,18,195.214359
6.111358,15,195.702702
4.919351,13,196.11745
4.6696,13,196.535174
7.687275,18,197.111265
2.05686,16,197.645792
4.81219,13,198.077599
2.46938,18,198.650553
6.649371,16,199.190272
4.806342,13,199.619431
3.79638,11,199.959414
5.328189,14,200.403437
5.432324,13,200.83567
7.131637,16,201.329666
1.137049,16,201.842449
6.721674,16,202.352686
7.435155,19,202.949222
5.124768,14,203.391374
0.474394,14,203.834077
5.193152,13,204.263888
6.024617,14,204.724614
5.39581,14,205.16833
7.075003,16,205.680557
7.223742,17,206.207653
7.886121,21,206.881657
5.544801,15,207.361448
6.843871,16,207.880974
6.600441,15,208.353351
6.808448,16,208.888512
6.894527,16,209.402116
5.81486,15,209.895465
5.458101,13,210.329667
2.034418,16,210.82958
6.591496,17,211.375284
7.114257,16,211.896941
6.47598,17,212.447068
6.43349,15,212.930186
5.359231,13,213.348058
5.148951,15,213.8202
5.724699,14,214.272147
4.975432,13,214.688452
5.601773,15,220.096237
5.458198,13,220.516288
5.097869,13,220.954483
6.157509,15,221.427938
5.844053,15,221.916501
7.281296,18,222.494905
1.588128,16,223.014474
5.084266,14,223.459777
7.107527,17,223.991918
6.718239,15,224.464453
5.837336,15,224.934478
5.71348,15,225.422722
5.041936,13,225.838846
5.88847,15,226.344302
5.325304,14,226.787841
5.302079,14,227.231915
5.869639,15,227.738381
5.608164,14,228.183909
3.186767,19,228.786046
2.000096,17,229.335934
5.453998,14,229.779441
6.260472,16,230.2776
5.668584,16,230.808004
5.110555,13,231.238631
5.132407,14,231.680529
5.252056,14,232.135645
1.128237,14,232.578966
6.333271,16,233.093596
5.303134,14,233.536821
6.285495,16,234.036596
6.445436,15,234.509099
5.090624,14,234.971298
6.179558,16,235.489141
6.303884,15,235.978231
5.277668,16,236.492809
6.833851,17,237.038309
7.387187,17,237.582849
5.735927,15,238.054651
6.401005,15,238.549921
7.103547,17,239.111673
6.564417,16,239.616398
5.586121,14,240.078679
1.570185,17,240.61067
7.366744,18,241.18844
5.363226,15,241.675605
5.554064,14,242.135535
7.217057,16,242.647722
5.974364,14,243.088979
0.46824,15,243.558601
5.856046,15,244.02926
5.596088,14,244.456045
5.552797,14,244.901417
7.030294,18,245.484757
6.162722,15,245.950987
4.99298,13,246.343102
4.490433,13,246.754067
6.142396,16,247.251018
6.078612,15,247.71911
3.454273,11,248.091162
6.595079,16,248.603746
5.043873,14,249.044631
7.567007,18,249.628454
5.369928,14,250.085671
6.018756,14,250.54282
5.549357,14,250.999701
3.871762,12,251.383997
5.077415,14,251.842013
1.510646,15,252.316956
7.256534,18,252.890231
5.282533,14,253.351237
6.230989,16,253.872793
1.488383,16,254.387661
7.443444,18,254.956354
4.675839,13,255.386011
6.261179,17,255.915346
7.183736,17,256.442689
5.371913,15,256.928457
5.715612,14,257.386577
5.630443,14,257.830823
5.348667,14,258.285589
5.501804,14,258.71318
6.335099,17,259.265666
4.902564,13,259.695912
5.65311,15,260.17205
6.360364,17,260.736253
6.146203,16,261.243235
0.601455,14,261.685026
6.046715,15,262.173458
6.20436,16,262.690241
6.123797,15,263.177759
7.744347,20,263.82634
6.938441,19,264.437173
6.710147,15,264.913184
5.177489,14,265.374593
0.616892,14,265.818549
6.075666,15,266.311862
0.803324,14,266.775812
5.589318,15,267.265146
6.653813,17,267.812275
6.307789,16,268.330323
6.808685,18,268.907432
5.094189,14,269.350788
6.19393,16,269.854849
6.043097,15,270.327768
3.892579,12,270.715039
8.571926,22,271.433798
5.825854,15,271.92279
0.819099,14,272.38944
5.822569,15,272.878146
5.503574,14,273.34083
6.471575,16,273.85833
7.089587,16,274.378803
6.37763,16,274.882944
6.336878,16,275.386433
7.618237,19,275.983341
7.145725,17,276.523757
6.647114,16,277.032887
5.227336,14,277.48967
4.555091,13,277.901533
6.338558,16,278.414109
7.828268,18,278.998613
4.847305,13,279.395323
0.775353,14,279.841639
6.726848,16,280.356979
4.266858,12,280.744294
5.163239,14,281.202185
1.545165,15,281.689145
1.766377,17,282.229175
6.886136,19,282.832364
6.921418,17,283.376086
4.549207,13,283.794748
3.952539,12,284.166216
5.442286,14,284.611488
1.146724,15,285.086871
6.008242,16,290.480993
5.073894,15,290.949932
5.832803,17,291.477693
5.156086,13,291.910349
6.859063,16,292.426624
5.17916,13,292.861352
5.456289,14,293.290089
5.963749,16,293.780083
5.403217,15,294.26131
5.863655,16,294.768087
5.968043,15,295.263555
5.944119,17,295.799802
0.875559,15,296.291339
1.316574,16,296.809647
4.687737,14,297.271681
0.936356,15,297.749918
5.152668,14,298.198851
2.126695,18,298.780097
7.339783,18,299.359883
6.230238,16,299.878576
6.676369,17,300.430654
5.261204,14,300.892127
2.042647,17,301.438003
6.331835,18,302.030515
7.283472,18,302.609876
7.109629,16,303.11721
7.505826,18,303.711994
6.817275,17,304.276008
7.568647,19,304.884228
5.713605,15,305.356441
6.139975,16,305.870833
4.962643,14,306.32872
5.391182,15,306.798646
5.729436,16,307.314646
6.700856,17,307.858925
6.57457,17,308.413155
5.456723,14,308.856638
1.332208,16,309.363673
6.367545,17,309.911682
0.940049,16,310.432102
6.164869,16,310.949033
5.524036,14,311.411092
5.168715,15,311.905767
1.703061,17,312.467212
7.373259,18,313.041077
6.244122,16,313.577523
6.515486,16,314.066543
6.743368,17,314.592571
4.04774,13,315.020955
4.745475,14,315.479501
5.024364,15,315.951886
1.306067,16,316.456986
4.887017,13,316.88906
4.148071,12,317.273182
5.43154,15,317.746679
7.290176,18,318.321381
6.056073,17,318.868059
5.946841,16,319.387362
1.623427,16,319.896029
4.526699,13,320.331086
5.705067,15,320.807165
7.012503,17,321.356722
2.250701,19,321.958739
7.032972,17,322.498983
5.66418,16,323.013978
5.134445,14,323.467936
5.679406,15,323.940176
6.893361,18,324.508807
7.156792,19,325.106822
6.025764,16,325.621075
6.045413,15,326.092633
7.409151,21,326.748556
5.970532,17,327.291721
6.739277,18,327.862857
2.558027,19,328.455936
4.013184,12,328.855002
7.386808,18,329.405607
5.963126,16,329.898928
6.707046,17,330.422547
5.971949,15,330.904221
6.310597,16,331.397662
5.450091,16,331.895303
0.938439,15,332.367715
5.864737,15,332.851415
5.724938,15,333.334692
4.895942,14,333.772647
1.505791,17,334.315772
5.818955,14,334.77021
6.084916,16,335.280479
1.674984,16,335.798503
4.937736,15,336.255094
6.867386,18,336.809875
5.328787,15,337.282881
5.678309,15,337.75296
2.379036,19,338.354691
6.748104,20,338.983097
4.576022,13,339.417059
5.443599,15,339.909401
5.316174,15,340.400051
5.472108,14,340.845735
6.003182,16,341.363728
6.707231,17,341.911478
6.39177,16,342.426739
5.357212,15,342.90507
4.783345,14,343.367436
6.372735,16,343.871468
5.779025,15,344.350055
5.584307,15,344.82524
6.365875,19,345.423427
6.417964,17,345.972819
4.524221,13,346.407178
6.372978,17,346.95498
7.708451,20,347.624504
5.069322,13,348.027369
5.578837,16,348.582865
5.901429,15,349.038258
6.097859,17,349.584953
7.415568,18,350.1623
6.763349,17,350.6933
6.350418,17,351.240591
6.527658,16,351.760834
3.917986,12,352.169029
5.59772,15,352.658112
4.732716,13,353.055713
6.047513,15,353.533876
6.131317,15,353.989454
3.818604,12,354.345231
5.620682,15,354.850537
6.644722,18,355.418067
5.096167,14,360.72225
4.59751,14,361.155073
6.775639,18,361.750378
4.223054,26,362.577848
5.568804,16,363.096496
6.888997,17,363.645588
5.628293,16,364.162599
6.367057,17,364.692533
4.699906,13,365.111895
6.842631,18,365.681991
6.269843,17,366.228604
1.913204,18,366.807309
5.895064,14,367.274924
6.14516,16,367.792837
4.692658,14,368.23868
1.515572,16,368.756946
5.627538,15,369.248213
5.872677,16,369.746236
5.964255,16,370.246444
5.153258,15,370.723992
5.802478,16,371.246244
5.084994,15,371.740337
5.198114,15,372.238773
5.72654,16,372.759925
5.933591,16,373.263952
6.42116,15,373.741355
6.447676,16,374.260307
6.813549,17,374.797086
6.942348,18,375.397961
5.068624,15,375.856983
5.925627,16,376.3797
6.005393,16,376.903377
4.990332,14,377.350128
6.300365,17,377.898667
7.012453,19,378.507671
1.297314,17,379.081033
6.187498,17,379.61065
5.477042,15,380.100201
7.573118,20,380.729961
6.76942,17,381.26648
5.798199,16,381.787357
5.404206,15,382.267502
6.628946,17,382.797168
6.206499,16,383.302072
7.089287,19,383.896874
5.866205,17,384.427721
5.931899,15,384.920743
6.273594,16,385.436508
5.976114,18,386.01638
5.957092,16,386.54076
2.004162,19,387.137204
5.188491,14,387.582412
5.524735,15,388.076732
5.016853,14,388.525132
8.366888,21,389.190245
7.117287,19,389.774005
