#{"t_start": 1774011981.2937682, "env_id": "continuous-highway-v0"}
r,l,t
1.855253,16,11.386601
6.668286,15,11.775836
6.686535,14,12.143269
5.149613,13,12.495426
1.598486,15,12.879313
3.985841,11,13.160546
5.795456,15,13.545676
4.690474,12,13.835755
6.592934,15,14.208059
5.220218,13,14.533195
5.158611,13,14.858339
6.024764,14,15.20628
5.856092,14,15.568163
4.432988,12,15.871666
0.761833,13,16.21055
6.315737,15,16.621806
5.292916,13,16.961243
5.222123,14,17.320801
1.997699,16,17.74176
6.015828,13,18.077836
5.121551,13,18.425549
1.665077,16,18.84481
5.210763,13,19.195219
5.893182,14,19.567893
5.854879,14,19.941236
5.875716,14,20.330823
5.770991,15,20.728443
6.238862,15,21.126792
5.098221,12,21.437322
5.036536,13,21.795498
5.386949,13,22.147434
6.481944,16,22.573542
5.847896,13,22.9127
6.541332,16,23.331638
5.515322,13,23.68351
5.628738,14,24.059936
2.240412,17,24.517629
4.804184,13,24.868659
5.898309,15,25.266037
4.994564,14,25.656301
5.801193,14,26.031559
6.374935,15,26.418967
4.681793,12,26.745126
6.83571,15,27.148205
1.104912,15,27.548966
5.243597,14,27.925849
5.892807,14,28.288195
0.30673,13,28.642308
6.885665,17,29.089936
0.801232,14,29.454985
5.329971,14,29.819519
6.868651,15,30.210605
5.850515,14,30.600394
6.334659,15,30.989497
5.686596,13,31.332887
4.674752,13,31.698692
5.991307,14,32.079489
6.796001,16,32.530121
4.120734,11,32.826643
6.732271,16,33.249145
5.484075,14,33.629742
4.650929,12,33.95829
6.119239,14,34.335486
4.290907,12,34.659124
4.635272,12,34.962168
5.309162,13,35.315747
5.789859,14,35.691512
5.324938,13,36.031813
5.368345,13,36.370057
5.555014,13,36.724995
6.084865,14,37.178361
5.25242,13,37.528871
6.578768,15,37.925475
5.296708,14,38.29913
5.008144,13,38.649771
6.572794,15,39.036077
3.862998,12,39.364925
0.811057,14,39.738497
4.870433,13,40.089561
5.696356,14,40.45121
4.860557,13,40.788482
5.327703,14,41.161282
6.411546,14,41.535948
4.808845,13,41.888119
4.792409,12,42.19062
0.651104,14,42.623716
2.118824,16,43.045211
6.32155,15,43.455923
4.690567,12,43.757249
4.760605,12,44.059887
2.737284,16,44.48374
5.085329,13,44.83655
4.979596,12,45.137609
4.27332,11,45.430959
6.317611,16,45.852695
5.540098,14,46.227148
4.665808,12,46.557985
5.642797,14,46.933691
4.718798,12,47.250406
5.506557,13,47.590383
5.220238,13,47.929302
5.332487,14,48.304721
1.450545,14,48.681704
5.356723,13,49.034522
6.238846,15,49.433478
5.380643,13,49.78642
4.624912,13,50.126069
6.019785,15,50.510625
0.571059,13,50.850798
1.948572,16,51.272295
5.312149,13,51.61169
1.099717,15,52.009547
5.53601,13,52.360814
5.031047,13,52.710506
7.11921,17,53.152279
1.293377,15,53.535233
1.107418,15,53.94399
5.992593,14,54.302679
3.287069,11,54.59387
5.765405,15,54.989641
6.247116,15,55.372956
4.94019,13,55.711282
4.993732,13,56.049004
6.367119,16,56.440473
5.666709,14,56.800581
5.492422,13,57.150933
1.941845,14,57.524419
4.962455,12,57.850719
4.364054,13,58.20066
5.6047,14,58.57488
5.646023,14,58.957336
6.486775,16,59.3886
6.549002,16,59.852951
1.484124,15,60.348018
6.139826,15,60.843481
5.734733,15,61.342173
5.400426,13,61.800096
4.798844,13,62.242245
4.453652,12,62.676188
5.599437,13,63.120437
-0.108613,13,63.563896
0.403413,13,64.215843
4.535165,12,64.643522
5.540149,13,65.09501
5.845648,14,65.639882
6.519442,15,66.15768
5.857375,14,66.70819
6.348996,15,67.38529
5.132284,13,74.040984
5.501662,13,74.492647
2.474363,16,75.063421
5.933052,14,75.568564
4.366895,12,76.018693
4.353167,12,76.439388
6.707175,16,77.009562
6.703024,16,77.657152
5.79081,15,80.888368
5.000001,13,84.435731
6.116076,16,85.000998
5.805392,14,85.553058
1.56737,15,86.086455
4.456592,12,86.526201
0.903584,14,87.001813
5.924127,14,87.517976
1.529137,15,88.051785
5.622133,14,88.561036
5.211071,13,89.035029
5.459525,13,89.499023
4.666394,12,89.935453
5.618892,14,90.434573
1.477819,15,90.956158
6.431206,14,91.469746
5.675555,13,91.906905
2.200068,17,92.48204
5.561295,14,92.929517
0.92645,14,93.389035
4.506211,12,93.756589
0.524666,13,94.144422
4.65199,13,94.555032
5.239218,13,94.973687
5.821575,14,95.41312
6.036571,15,95.90482
6.376892,15,96.371154
5.12113,14,96.889039
1.882068,15,97.460007
6.250145,15,98.020315
4.799205,12,98.4552
5.314007,13,98.922642
5.669032,14,99.441149
5.406752,13,99.942843
4.562677,13,100.579564
4.643482,12,101.010859
4.725811,13,101.524576
4.8716,13,101.986088
5.605726,13,102.4599
1.635512,15,102.973786
5.180209,13,103.451975
5.354837,14,103.978964
6.059182,15,104.540486
4.749886,12,105.068275
5.344181,13,105.556142
5.915049,14,106.090961
1.533265,15,106.70274
5.758652,14,107.186971
1.559484,15,107.77118
5.152818,13,108.304207
5.944308,14,108.840102
6.121023,14,109.608021
4.786401,12,110.098668
4.835711,12,110.515682
1.764128,16,111.077662
5.039956,13,111.539212
5.976745,15,112.088203
-0.400768,13,113.553578
7.129233,17,117.786518
4.372331,12,119.096035
6.004951,14,119.58804
5.80503,14,120.091231
1.528969,16,120.647874
4.075146,12,121.06972
4.99921,13,121.518303
7.237858,16,122.094854
5.605313,14,122.57076
5.434136,13,122.997207
1.038294,15,123.516814
5.123077,13,123.964176
5.771243,14,124.43957
6.11556,15,124.964754
5.525177,13,125.4117
5.207974,13,125.853645
4.888661,13,126.298351
5.322814,13,126.738627
1.352535,15,127.259201
6.011816,15,127.765478
1.039119,14,128.245672
0.178413,13,128.676978
4.905408,13,129.11688
6.320318,15,129.661761
6.019453,15,130.182586
6.156115,14,130.675902
6.283211,15,131.198729
4.600248,12,131.633549
5.124909,13,132.1017
5.266747,13,132.490314
6.073433,15,132.938416
5.498768,14,133.426188
4.618,12,133.847883
-0.290443,12,134.23882
1.270878,15,134.703408
4.795056,13,135.143401
6.628341,15,135.652129
1.574204,15,139.688851
4.322766,12,140.530187
5.348597,13,140.992433
5.380457,13,141.454749
5.641187,14,141.920355
0.537131,13,142.345251
5.867169,14,142.810977
5.923144,13,143.269042
5.993441,14,143.757946
5.467995,14,144.245287
6.811766,15,144.755041
5.352192,14,145.241449
6.691058,16,145.780209
4.789124,13,146.217525
6.4951,14,146.686738
1.361573,15,147.219385
5.453599,13,147.653644
1.010593,14,148.122
6.708715,16,148.670236
6.186081,14,149.159158
5.421181,13,149.59174
5.743496,14,150.059271
-0.045875,14,150.526015
6.134756,15,151.020611
1.455364,14,151.473972
4.179924,12,152.670146
4.847294,13,155.696055
5.316902,14,157.89894
0.543768,14,158.365677
5.80027,13,158.823747
4.329442,12,159.246933
4.542238,12,159.660555
5.043945,13,160.124022
6.844564,15,160.645927
6.224386,14,161.182952
6.568872,15,161.768548
1.72847,15,162.370746
5.607576,13,162.828916
5.885379,14,163.322082
5.064286,13,163.782292
5.469254,13,164.222402
3.914305,12,164.615679
5.533093,13,165.060757
5.069657,13,165.499418
1.766285,16,166.049672
4.819597,12,172.152204
4.104529,12,174.905702
5.523125,13,175.346181
1.958877,15,175.846249
5.292641,13,176.267549
6.026923,15,176.785956
5.592892,14,177.275614
5.694072,14,177.747614
4.918884,13,178.183675
6.404162,15,178.699114
6.319008,15,179.214317
3.648348,11,179.59306
6.688132,16,180.153205
5.556614,14,180.636371
5.367655,13,181.053533
4.965599,13,181.505951
4.789735,13,181.957821
5.366823,14,182.555209
5.826005,14,182.972898
5.089241,14,183.412874
5.598229,14,183.808938
5.795674,14,184.185945
5.091101,13,184.525463
5.352213,13,184.877107
6.311154,16,185.290237
5.037298,13,185.629981
6.042014,15,186.016064
5.801844,14,186.380561
5.821233,14,186.757648
3.996167,12,187.088318
-0.107842,13,187.429256
4.777374,13,187.781841
6.792245,16,188.191581
4.841469,14,188.569597
5.688594,15,188.969745
4.329041,13,189.297011
5.267532,14,189.66092
6.145087,17,190.106957
5.415777,13,191.762331
6.974522,16,192.46486
6.350583,17,192.899039
5.963975,14,193.278752
5.671171,14,193.645213
0.655167,14,194.022264
