#{"t_start": 1773764935.8384206, "env_id": "continuous-highway-v0"}
r,l,t
3.589698,11,7.018166
2.689842,10,7.322115
4.452669,12,7.709932
2.332301,9,8.015833
4.047379,12,8.396954
3.471998,11,8.759245
2.918113,10,9.09475
3.074125,10,9.427279
2.924596,11,9.788292
4.387138,12,10.167097
-0.060368,13,10.571284
3.787002,12,10.950438
3.175652,11,11.318133
-0.44382,12,11.707278
3.765195,11,12.069612
2.861548,10,12.402758
3.927687,11,12.764326
3.223764,11,13.12596
3.605961,11,13.469669
3.794302,11,13.827472
2.687659,10,14.162294
3.675525,11,14.507372
-1.587786,11,14.855459
2.913593,10,15.176344
0.438918,14,15.638725
-0.072932,13,16.056144
3.479817,11,16.403366
2.44537,10,16.737544
3.396064,11,17.083145
-0.836943,12,17.461971
3.956126,12,17.836868
-0.698092,13,18.253409
5.005169,12,18.645135
-0.045655,13,19.0653
4.355796,12,19.457121
-0.891515,12,19.848958
4.056269,12,20.239658
3.000006,10,20.663377
3.553484,11,21.01178
4.169024,12,21.415215
3.444853,11,21.786582
3.691814,12,22.181292
3.931099,11,22.545588
4.417578,12,22.943515
2.992186,10,23.264922
3.830282,12,23.675192
3.884855,12,24.075987
3.002332,10,24.419533
4.407793,12,24.925297
2.11346,9,25.260515
3.459921,11,25.703619
3.256407,11,26.144098
3.943863,12,26.647217
4.464765,12,27.160903
3.372286,11,27.618014
3.450618,11,28.080227
3.416382,11,28.590301
-1.255968,11,29.081133
3.23177,11,29.610928
2.982064,11,30.091446
2.902342,10,30.544883
4.212543,12,31.073718
3.503227,11,31.576039
3.029686,10,32.023722
4.239991,12,32.549616
3.429693,11,33.027909
4.34896,12,33.553255
4.241803,12,34.0984
-0.363737,13,34.673268
4.063174,12,35.200929
3.908656,11,35.670274
3.513614,11,36.150635
3.403101,11,36.613185
2.747078,10,37.039881
2.927213,10,37.468313
3.932276,12,37.970463
3.42428,11,38.45186
-0.787349,12,38.979032
4.752083,12,39.509632
-1.293525,11,40.017484
3.494763,11,40.515574
4.061566,12,41.96229
4.445542,12,44.151145
4.444978,12,46.494055
3.50647,11,46.945161
2.928094,10,47.396862
2.742843,10,47.869829
3.86926,11,48.34922
3.730458,11,48.792574
2.954671,10,49.249864
-1.883809,11,49.790026
3.020095,10,50.221106
3.706397,11,50.712699
4.673211,13,51.290944
3.325241,11,51.736921
2.854596,10,52.169568
3.816797,12,52.701177
2.542349,10,53.117776
2.649679,10,53.561095
1.915438,9,53.95747
3.729062,12,54.460086
2.529676,10,54.971303
4.077664,11,55.425293
-0.304874,13,56.040466
2.7532,10,56.464676
3.160444,11,56.920097
-0.99712,12,57.426043
-1.858937,10,57.933897
3.09619,11,58.453809
-1.001312,11,58.952987
3.520761,11,59.410825
4.70604,13,59.967545
-1.054791,12,60.522807
4.370915,12,61.049236
3.84743,12,61.573747
2.423068,10,62.020309
3.922158,12,62.550708
4.158707,12,63.088194
-1.682052,10,63.555372
2.620532,10,64.004857
4.965539,13,64.561683
-1.281942,12,65.097376
3.518282,11,65.554886
-0.359669,13,66.117482
3.078453,10,66.50652
3.978296,12,67.023197
-1.041528,12,67.60244
2.891793,10,68.038138
3.31811,11,68.564419
3.310684,11,69.040221
3.061331,10,69.503062
4.071881,13,70.083042
3.813165,12,70.6388
3.245345,11,71.114124
3.030482,11,71.575345
2.798431,10,71.984153
3.291286,11,72.455919
3.990255,12,72.972794
3.045917,11,73.439276
4.212847,12,73.9791
2.708314,10,74.442804
4.052284,12,76.490403
3.224433,11,77.820918
3.942367,11,79.659464
3.142733,11,81.158582
-0.915247,11,81.632994
-0.815073,11,82.075018
4.129031,12,82.608607
2.785721,10,83.019339
3.373076,11,83.468281
4.197996,12,83.942115
3.568441,11,84.406077
-0.59344,13,84.97023
-1.689562,11,85.444273
3.450679,11,85.919222
2.922304,10,86.358816
3.235324,11,86.831504
-0.718543,12,87.344425
4.184411,12,87.897714
3.41189,11,88.364919
3.370408,11,88.820953
3.703998,11,89.304117
4.170387,13,89.855841
-0.899727,12,90.376365
-0.705763,12,90.872963
3.639313,11,91.331339
3.12008,11,91.806243
-0.755493,12,92.323408
3.244721,11,92.797985
3.761054,12,93.293374
2.765963,10,93.719093
4.06714,12,94.214964
2.37185,10,94.637876
3.255115,11,95.08802
-1.659403,11,95.566776
2.833512,10,95.989091
2.08582,9,96.375486
3.280825,11,96.832933
2.47727,10,97.255218
2.58157,10,97.676065
-2.044598,10,98.097417
3.779773,11,99.457391
2.878697,11,103.611732
3.196137,11,111.077645
3.958313,12,111.594007
5.111482,13,112.137531
3.947512,11,112.614248
3.01397,10,113.045052
2.848035,10,113.461754
-2.041452,10,113.904346
4.024657,12,114.390937
3.847494,12,114.849627
2.965099,10,115.278024
4.352216,12,115.762392
3.288074,11,119.000356
-1.739632,11,122.595491
2.485474,10,123.020483
3.094223,10,123.45904
3.049212,11,123.912004
4.62774,13,124.455675
3.629994,11,124.91677
3.524733,11,125.356941
2.19735,9,125.755151
3.788618,12,126.269654
3.474925,12,126.77929
3.985735,12,127.294221
3.752162,11,127.746176
5.221784,14,128.320373
3.987075,12,128.827713
-0.869516,11,129.298858
4.469984,12,129.809907
0.212336,13,130.344616
-0.857737,13,130.86415
3.356835,11,134.01525
-0.613566,12,137.209452
3.390724,11,137.832988
2.543927,10,138.250026
3.43767,11,138.71818
4.597533,12,139.222387
3.737609,11,139.691295
-0.974147,12,140.196062
3.715586,12,140.703879
3.42675,11,141.174637
3.176459,10,141.634825
3.189361,11,142.117354
2.935559,10,142.5793
3.524944,11,143.049695
4.267535,12,143.545347
2.812248,10,143.978849
3.047912,10,144.341046
3.484245,12,144.759393
-0.834143,13,145.242377
4.161207,12,145.63152
4.157805,12,146.028069
3.451351,11,146.382392
3.581141,12,146.773533
-1.591801,11,147.137772
-0.710593,12,147.531748
2.933697,10,147.876095
3.644503,11,148.240364
3.42574,11,148.60126
3.708135,12,148.992092
3.224342,10,149.313566
-0.646955,13,149.71918
-1.820404,11,150.081017
-1.464547,11,150.442167
3.578897,11,150.803013
-0.370053,13,151.218037
2.563537,10,151.549765
4.04254,12,151.937748
2.454011,10,152.240788
-0.344621,13,152.658082
-1.658886,11,154.620506
-0.885147,11,154.981884
3.252961,11,155.346806
4.531201,12,155.736899
3.952221,12,156.115525
3.606375,11,156.467148
3.130644,10,156.788908
2.271781,10,157.123534
3.485453,11,157.491258
3.24629,11,157.856729
3.155085,11,158.220955
3.587687,11,158.586343
3.657224,11,158.9488
