#{"t_start": 1773764452.4044275, "env_id": "continuous-exit-v0"}
r,l,t
0.553316,2,52.976698
0.341209,2,53.106608
1.699059,5,53.503844
0.538619,2,53.666247
0.51945,2,53.849556
-2.468539,6,54.274157
-3.026951,5,54.627366
1.378566,5,54.993382
0.914503,3,55.207226
-3.619337,4,55.473039
0.542071,2,55.630001
0.549366,2,55.799718
0.517228,2,55.934269
-3.5076,4,56.228198
1.297099,4,56.557544
2.343532,6,57.010562
-3.001387,5,57.357144
-3.431093,4,57.676027
0.537886,2,57.831309
0.333995,2,58.001156
0.525179,2,58.134367
0.491806,2,58.267103
2.849809,8,58.83022
-2.017206,7,59.336829
1.424858,5,59.773432
2.672617,7,60.360749
1.314606,4,60.631487
-1.783143,9,61.317463
0.447835,2,61.451514
0.832473,3,61.669497
0.522253,2,61.825473
0.495018,2,61.985794
0.50042,2,62.138388
0.332233,2,62.296358
0.533311,2,62.424712
0.873883,3,62.632756
0.516163,2,62.800797
0.522794,2,62.955332
1.210912,4,63.259731
1.772246,5,63.616049
0.55416,2,63.771259
0.88616,3,63.998984
0.311285,2,64.135687
0.339144,2,64.266741
2.046193,6,64.701829
0.532642,2,64.830266
-3.048484,5,65.19804
0.521513,2,65.352059
2.31273,7,65.827003
0.534683,2,65.981681
0.547329,2,66.136275
0.938212,3,66.353361
0.325998,2,66.487027
0.896566,3,66.699071
0.521707,2,66.854568
1.083125,4,67.116258
0.34413,2,67.25004
2.020218,6,67.624783
0.565578,2,67.780929
1.681525,5,68.163782
0.528223,2,68.291171
0.506243,2,68.45
2.31811,7,68.993164
1.010846,3,69.2256
1.521474,5,69.560415
1.770898,5,69.912229
0.372332,2,70.066301
0.896853,3,70.27631
1.127371,4,70.576865
-1.125812,10,71.268619
0.496304,2,71.417795
1.413825,5,72.70246
-2.197174,7,75.701446
0.525578,2,77.736394
0.884041,3,78.252538
0.554324,2,78.404663
0.94761,3,78.609765
1.365179,4,78.869307
0.335198,2,79.002524
2.103541,6,79.441577
0.351891,2,79.569852
0.849986,3,79.775542
0.544669,2,79.928377
0.557145,2,80.087233
-3.669318,4,80.35217
1.987664,6,80.76484
0.963861,3,80.969148
1.417108,5,81.280735
-3.53561,4,81.536367
2.090156,6,81.972993
2.04254,6,82.384917
0.528193,2,82.540778
2.109423,6,82.963397
0.443319,2,83.117562
1.349169,4,83.398374
-3.305101,5,83.752303
0.525329,2,83.902416
0.552956,2,84.02986
0.533835,2,84.181937
0.574476,2,84.331716
0.159887,12,85.176845
1.667381,5,85.531073
0.5531,2,85.658524
0.560215,2,85.811303
1.805193,6,86.246966
0.972902,3,86.450885
0.53934,2,86.603361
0.542707,2,86.753451
1.229466,5,87.038011
2.012287,6,87.399925
0.911175,3,87.629524
0.33625,2,87.781173
0.51814,2,87.932983
0.540824,2,88.087236
0.512736,2,88.213326
-2.90083,5,88.572706
0.919792,3,88.79988
0.333099,2,88.952103
-3.486691,4,89.234757
0.503486,2,89.386118
0.359271,2,89.513168
0.571477,2,89.641858
-3.201324,5,90.874881
0.344764,2,92.895624
0.52351,2,95.775097
0.551228,2,95.896066
0.468034,2,96.026016
0.68779,3,96.24403
0.562824,2,96.415705
2.393812,7,96.878476
0.347339,2,97.008602
0.534763,2,97.164569
0.915803,3,97.368631
0.532016,2,97.496424
0.520363,2,97.623766
1.355922,4,97.885004
-3.313969,5,98.199223
1.12062,4,98.459104
0.51612,2,98.613352
0.495493,2,98.77065
0.544704,2,98.92471
0.539174,2,99.051581
0.543407,2,99.179028
1.220026,4,99.439628
0.346171,2,99.566926
2.959915,8,100.194067
3.401803,8,100.749082
0.903008,3,100.982558
0.871891,3,101.186721
0.883968,3,101.396703
-2.644428,6,101.833189
0.508681,2,101.985257
0.479815,2,102.143233
1.610031,5,102.476726
3.132367,8,103.014845
0.530393,2,103.1668
0.543198,2,103.319003
0.963317,3,103.52203
0.560574,2,103.649812
1.051706,4,103.906937
0.342317,2,104.061411
0.863622,3,104.284738
-2.989434,5,104.61511
2.041032,6,105.918952
1.650483,5,108.059159
6.929959,16,111.814202
1.60237,5,112.167246
0.510722,2,112.31476
0.871962,3,112.517035
0.910728,3,112.696477
0.532979,2,112.847594
0.912288,3,113.049897
0.337567,2,113.205374
0.702843,3,113.40598
0.968208,3,113.612414
0.720474,3,113.840236
-3.50917,4,114.120453
1.205559,4,114.421467
0.542624,2,114.550268
-2.966696,5,114.903222
-3.669102,4,115.183205
0.316352,2,115.332646
1.52709,5,115.663359
1.773139,6,116.0924
0.521919,2,116.241391
0.891249,3,116.442748
0.572965,2,116.591724
-3.15268,5,116.92319
1.399068,5,117.255049
0.527352,2,117.404325
3.194337,9,118.045632
-3.200025,5,118.387993
0.505858,2,118.596023
0.462835,2,118.805021
1.011022,3,119.072893
0.494059,2,119.226256
2.192347,7,119.717388
0.533917,2,119.872113
0.900017,3,120.100711
0.770524,3,120.352853
1.177157,4,120.589596
-3.617118,4,122.581178
1.083555,4,124.81924
0.370117,2,126.610745
-2.806543,6,127.119665
2.084577,6,127.489223
-3.107591,5,127.80799
0.532459,2,127.938991
0.926991,3,128.145932
1.20113,4,128.356166
0.560769,2,128.457364
0.915003,3,128.63439
0.904306,3,128.795091
0.544161,2,128.897923
1.202848,4,129.097316
0.518622,2,129.201398
3.03571,9,129.728187
1.684863,5,130.023888
1.629291,5,130.289003
0.568516,2,130.387005
1.838741,6,130.706976
0.534388,2,130.823107
0.568745,2,130.921212
0.342358,2,131.038173
0.889259,3,131.193934
2.249089,6,131.490994
0.530585,2,131.589904
0.531897,2,131.708309
1.373517,4,131.926355
0.486734,2,132.027994
-2.880816,6,132.384862
0.368763,2,132.498902
0.499103,2,132.616305
0.982803,3,132.792907
1.092381,4,132.988337
0.478527,2,133.105274
0.544442,2,133.225136
0.885608,3,133.383707
2.950092,8,133.800271
1.412113,5,134.076252
1.194377,4,134.27317
2.169063,6,134.609894
1.218094,4,134.825855
0.554715,2,134.941167
-2.580251,6,135.257664
0.553044,2,135.373067
0.543271,2,135.488728
0.333233,2,135.603859
-3.44673,4,135.817536
-1.363344,10,136.302629
0.545006,2,136.401273
0.516759,2,136.519552
0.898014,3,136.696002
0.537202,2,136.812366
1.345391,5,137.071639
5.055437,13,137.737143
1.581937,5,137.992145
0.510311,2,138.10754
0.899655,3,138.283923
0.530779,2,138.399116
0.539887,2,138.514552
0.54663,2,138.633926
0.495369,2,138.753867
0.49714,2,138.854042
1.641821,5,139.132896
-3.63173,4,139.347654
0.546263,2,139.445147
0.538917,2,139.543658
1.207426,4,139.763031
0.530395,2,139.879314
0.534805,2,139.996381
1.601187,5,140.254013
0.456727,2,140.352351
-3.474576,4,140.547496
0.325812,2,140.663612
3.361888,9,141.155765
-2.67348,6,141.47172
0.340397,2,141.586246
0.52738,2,141.702541
0.582635,2,141.800648
0.358975,2,141.920484
0.553468,2,142.019128
0.524726,2,142.135094
0.338959,2,142.253772
2.347655,7,142.624184
1.703372,5,142.895783
0.338722,2,143.011792
0.939862,3,143.186295
0.527533,2,143.301131
0.542329,2,143.400338
-2.697485,6,143.730839
0.86084,3,143.905982
0.576497,2,144.023584
0.318194,2,144.139999
0.920648,3,144.296618
-1.734681,8,144.732343
0.55856,2,144.847518
0.553871,2,144.96456
0.534874,2,145.081319
-3.207912,5,145.338608
