#{"t_start": 1774006242.2567177, "env_id": "continuous-exit-v0"}
r,l,t
0.544088,2,7.447892
0.559871,2,7.570001
0.510734,2,7.666584
0.50057,2,7.782907
0.536285,2,7.897764
2.299959,7,8.310485
-2.58929,6,8.64574
0.533681,2,8.764433
0.511117,2,8.878685
1.635962,6,9.176176
2.603848,8,9.655625
0.539286,2,9.774898
-3.554783,4,9.992827
2.467494,6,10.348012
-3.494428,4,10.5654
0.356132,2,10.664711
0.87484,3,10.803057
1.387543,4,11.021593
3.588866,9,11.508122
1.272837,4,11.745629
0.364356,2,11.865328
0.528751,2,11.980998
0.514924,2,12.095812
3.071141,8,12.536388
1.740034,5,12.794157
0.341088,2,12.893248
0.468676,2,13.011313
0.5232,2,13.130716
0.516065,2,13.245255
2.079639,6,13.566205
0.521787,2,13.681248
0.547003,2,13.799309
0.892989,3,13.956262
0.552381,2,14.073209
0.555595,2,14.187864
0.535719,2,14.302458
0.528082,2,14.3986
0.516983,2,14.497831
0.4988,2,14.598227
0.510541,2,14.717633
0.518762,2,14.817606
-2.823868,6,15.151856
0.362092,2,15.266484
0.527821,2,15.363152
-2.997126,5,15.635594
0.53332,2,15.732906
0.34052,2,15.829794
0.326832,2,15.929465
0.851419,3,16.086067
1.595654,5,16.358463
3.739124,9,16.831216
0.343058,2,16.92937
0.89902,3,17.106965
-3.582261,4,17.303808
0.514035,2,17.401474
0.885184,3,17.564345
-2.761436,6,17.921814
1.269535,4,18.134671
3.232019,9,18.596696
0.892569,3,18.750088
1.642702,5,19.026241
1.391419,4,19.238539
0.922485,3,19.395351
0.345028,2,19.49521
-3.51712,4,19.696583
0.488092,2,19.810913
0.552157,2,19.925984
0.515401,2,20.042201
0.516698,2,20.15823
0.458976,2,20.274593
0.535946,2,20.38891
2.289859,7,20.798831
1.328278,4,20.993219
-2.729167,6,21.325948
0.519326,2,21.422935
0.366525,2,21.537924
-2.615882,7,21.896927
0.51867,2,21.994035
0.350482,2,22.092981
1.648273,5,22.34983
-2.764918,6,22.683786
2.480202,7,23.036164
0.962967,3,23.20835
0.509006,2,23.305744
-2.81383,6,23.621881
1.553525,5,23.895167
0.905579,3,24.032291
0.919694,3,24.190204
1.639683,5,24.469305
-3.115485,5,24.762259
0.553345,2,24.859136
0.564422,2,24.97883
0.336004,2,25.097276
0.49964,2,25.2138
1.314803,4,25.431336
1.1983,4,25.611187
0.519617,2,25.710638
0.932472,3,25.868839
0.549058,2,25.966104
1.146526,4,26.169788
0.530186,2,26.286398
2.334673,7,26.638567
1.184796,4,26.857521
2.695864,8,27.258343
1.329178,4,27.471784
-2.849949,6,27.791215
0.545827,2,27.887706
-2.817935,6,28.201227
2.081742,6,28.514099
0.504067,2,28.612047
1.766506,5,28.849575
3.404342,9,29.327851
0.318312,2,29.424886
1.612805,5,29.679423
0.501683,2,29.794867
0.536147,2,29.91129
2.823863,7,30.28532
0.332097,2,30.382303
0.545317,2,30.480088
0.932875,3,30.654984
-3.100084,5,30.908755
0.556444,2,31.025183
0.325122,2,31.14041
-1.223681,11,31.716121
0.914876,3,31.892542
0.551082,2,31.989572
2.531247,7,32.379876
0.961291,3,32.560751
0.546284,2,32.675765
0.522576,2,32.791261
1.259735,4,33.023295
0.537879,2,33.138568
0.844362,3,33.293954
0.505394,2,33.408993
0.912225,4,33.604819
1.182312,4,33.804635
0.515097,2,33.906138
1.647675,5,34.188635
0.53133,2,34.288086
1.488699,5,34.550047
0.353753,2,34.648087
0.533433,2,34.746791
0.522138,2,34.846951
1.343471,4,35.068215
0.520787,2,35.184011
1.874197,6,35.498093
0.321062,2,35.613776
0.520193,2,35.710639
0.543782,2,35.827501
0.872668,3,36.003689
0.506845,2,36.103519
0.866866,3,36.240881
1.324758,4,36.439517
0.532178,2,36.559144
0.544306,2,36.675341
1.852493,5,36.94842
2.350811,7,37.309871
0.521811,2,37.429458
