#{"t_start": 1774014518.339533, "env_id": "continuous-exit-v0"}
r,l,t
2.700751,7,16.59364
0.553629,2,16.698297
0.334407,2,16.796527
1.123839,5,17.068387
1.641385,5,17.306899
0.465919,2,17.405499
0.53647,2,17.510936
1.583788,5,17.782129
0.326886,2,17.88012
2.780999,7,18.238012
2.884548,8,18.668593
0.909822,3,18.822323
0.368435,2,18.918586
-3.153295,5,19.192219
0.357818,2,19.308387
1.479961,5,19.582725
0.855947,3,19.755312
0.524055,2,19.869854
3.32989,9,20.328532
-2.953779,5,20.602141
0.54781,2,20.698723
2.473297,7,21.071842
1.327806,4,21.284592
0.592239,2,21.401941
-1.421313,9,21.876389
0.3224,2,21.992248
1.235257,4,22.224868
0.561977,2,22.341038
0.340899,2,22.455917
0.525784,2,22.572408
-3.034435,5,22.807321
0.576239,2,22.905906
1.605977,5,23.159369
0.460896,2,23.274615
0.504737,2,23.373595
1.569216,5,23.649839
0.905223,3,23.804565
0.527004,2,23.92127
0.525305,2,24.019046
0.507142,2,24.117431
0.884331,3,24.272679
0.522215,2,24.390659
0.51787,2,24.505114
-3.487427,4,24.701746
0.556937,2,24.819096
0.53795,2,24.936611
1.233546,4,25.167594
-1.953934,8,25.58578
0.580211,2,25.701022
2.052287,6,25.973394
0.862951,3,26.134534
0.547257,2,26.25352
0.548971,2,26.370338
0.547216,2,26.48543
0.550439,2,26.601747
2.024521,6,26.920352
0.543077,2,27.034416
-2.403074,7,27.3877
0.311285,2,27.503764
0.968509,3,27.659907
0.972793,3,27.834028
-2.365406,7,28.236721
0.742758,3,28.390653
0.54457,2,28.506832
-2.875378,5,28.779234
0.552013,2,28.883429
0.956586,3,29.047479
2.094505,6,29.351609
2.756802,8,29.778281
-3.723278,4,29.984845
0.506599,2,30.102169
0.713647,3,30.259137
0.882927,3,30.435092
0.503443,2,30.536568
0.546269,2,30.636718
1.865555,5,30.906534
-3.142672,5,31.16944
0.53062,2,31.267802
0.515269,2,31.365176
2.183601,6,31.66914
0.325237,2,31.790146
1.238159,4,32.00751
-3.280871,5,32.2614
2.824699,8,32.668142
0.501508,2,32.766236
0.545572,2,32.866367
1.590943,5,33.140889
-3.026712,5,33.419805
-3.543665,4,33.66166
0.505418,2,33.759249
1.299641,4,33.974828
2.136634,6,34.308753
0.957563,3,34.477148
3.075903,9,34.933757
0.32433,2,35.03072
-3.409448,4,35.269843
0.459206,2,35.387547
0.91352,3,35.562745
1.79653,5,35.83776
2.619554,7,36.232385
0.537028,2,36.346791
1.963268,6,36.663821
0.529248,2,36.762445
0.555987,2,36.881802
2.057691,6,37.220751
-3.149526,5,37.500064
0.451323,2,37.596174
