#{"t_start": 1774116236.4410248, "env_id": "continuous-exit-v0"}
r,l,t
1.319608,4,4.89495
0.512913,2,5.393365
0.548999,2,5.919511
2.1209,6,7.489661
2.06545,6,8.985968
0.48396,2,9.508065
0.5206,2,10.064444
1.345135,4,11.101189
1.454321,5,12.285076
0.484046,2,12.872287
1.631332,5,14.092881
-2.227108,7,15.840264
-2.991445,5,17.139749
-2.354823,7,19.02601
1.360066,4,19.927445
0.862231,3,20.727843
0.558337,2,21.250876
-2.791291,5,22.404473
2.271608,7,24.289954
0.436089,2,24.803911
1.149814,4,25.902067
0.901498,3,26.672496
0.336148,2,27.148641
0.89562,3,28.041393
0.87374,3,28.857183
0.515623,2,29.460217
1.303662,4,30.60687
0.537972,2,31.083125
0.343136,2,31.575023
-3.30307,5,32.849143
1.284933,4,33.854389
0.880628,3,34.605508
1.306407,4,35.527745
0.512184,2,36.073946
0.553978,2,36.642276
