#{"t_start": 1774114699.7843955, "env_id": "continuous-highway-v0"}
r,l,t
4.626699,12,2.778865
6.763353,15,3.707837
6.22431,14,4.642305
5.839482,13,5.492647
4.982586,13,6.366991
4.791692,13,7.190738
4.375905,12,7.922449
5.446963,13,8.800202
6.784457,16,9.947485
5.546318,13,11.197712
4.62129,13,12.133889
6.55009,15,13.13369
6.876414,15,14.075671
4.830803,12,14.860616
5.785992,14,15.802947
6.010183,14,16.806444
5.252787,14,17.766598
6.237385,16,18.889564
1.036816,14,19.913576
6.347571,14,20.902012
5.658014,13,21.812495
8.02017,17,22.890153
5.843577,14,23.805382
2.101016,16,24.801751
4.920606,13,25.625086
4.236198,12,26.46333
5.571949,15,27.424117
5.433294,13,28.376499
6.238341,15,29.515478
1.402192,15,30.715087
1.510493,16,31.99806
4.799821,13,32.995813
2.205506,16,34.178625
5.444197,13,35.139887
5.920478,14,36.210057
4.894958,13,37.147055
