#{"t_start": 1774114752.956185, "env_id": "continuous-exit-v0"}
r,l,t
0.515981,2,1.872643
-2.386388,7,2.77032
-2.977832,6,3.541867
6.512422,14,5.308091
0.546034,2,5.591382
0.523631,2,5.913841
0.531714,2,6.205272
1.163356,4,6.804644
0.563155,2,7.213404
-3.084065,5,7.939216
0.519383,2,8.228686
0.536942,2,8.504
1.315338,4,9.002707
-2.700871,6,9.831981
-2.962581,6,10.592756
2.135714,6,11.473743
1.584909,5,12.113585
0.546279,2,12.412551
2.619305,7,13.370632
0.530919,2,13.640693
0.51384,2,13.897336
0.512777,2,14.187881
0.53897,2,14.450943
0.523069,2,14.695305
0.834793,3,15.214145
2.628041,7,16.171668
0.336719,2,16.425934
0.332429,2,16.717185
0.527796,2,17.006923
3.479486,9,18.181322
1.624343,5,18.848975
2.14863,6,19.704191
0.522567,2,20.024617
0.523274,2,20.334149
0.549293,2,20.661905
0.882652,3,21.125119
-3.473416,4,21.656912
0.561951,2,21.911933
0.464927,2,22.190644
0.559996,2,22.471647
0.502516,2,22.725164
2.136567,6,23.507441
0.557639,2,23.783797
0.33725,2,24.055507
1.87546,6,24.802568
0.922179,3,25.235423
-3.006907,6,26.188527
0.495328,2,26.447236
2.169173,6,27.198904
0.956357,3,27.577368
2.220338,6,28.412137
2.15647,6,29.230523
0.540228,2,29.488397
0.908179,3,29.900518
0.531985,2,30.221722
2.240603,6,31.038101
0.528872,2,31.351079
1.804733,5,32.074284
0.550765,2,32.332059
0.537142,2,32.608444
0.558574,2,32.912376
0.560163,2,33.224638
0.522692,2,33.610119
0.522416,2,33.913061
0.539124,2,34.203225
0.946868,3,34.583248
0.336869,2,34.851511
0.465515,2,35.124619
2.131007,6,35.901154
0.511769,2,36.174366
0.331956,2,36.446289
2.082522,6,37.301481
0.354207,2,37.561944
0.960599,3,37.979989
0.537749,2,38.308033
-3.497946,4,39.059292
0.520604,2,39.450495
0.548584,2,39.826204
0.916345,3,40.408357
0.336907,2,40.876038
3.283443,9,42.460517
0.355994,2,42.849866
0.516414,2,43.216316
4.244588,11,45.21096
0.551344,2,45.534164
0.339914,2,45.810199
0.735962,3,46.24424
-3.2353,5,46.862527
1.407068,5,47.596804
1.372199,4,48.156674
0.517469,2,48.482843
0.520466,2,48.785637
0.560202,2,49.024799
0.552299,2,49.306519
0.941255,3,49.704011
0.361603,2,50.015778
0.336288,2,50.319561
1.512062,5,51.080004
0.994045,3,51.485915
0.532309,2,51.747294
0.558753,2,52.027095
0.557871,2,52.326509
0.76426,3,52.765447
0.528769,2,53.052435
0.94104,3,53.462619
0.33227,2,53.741791
0.887172,3,54.133029
0.903861,3,54.549462
1.300082,4,55.096809
0.317883,2,55.393949
0.535235,2,55.664797
0.539308,2,55.922913
0.528635,2,56.219849
0.543077,2,56.481006
1.799468,5,57.246346
0.548017,2,57.530474
0.572914,2,57.790776
-3.365358,4,58.473478
0.349088,2,58.835644
2.437679,7,59.837452
0.539273,2,60.140162
0.526809,2,60.425744
1.717509,5,61.09831
0.353447,2,61.385902
0.520241,2,61.671852
0.319533,2,61.95514
0.86878,3,62.33461
1.242503,4,62.871543
0.581191,2,63.196614
0.521788,2,63.47818
0.922438,3,63.844862
0.554805,2,64.148504
0.947735,3,64.564692
0.322969,2,64.845935
1.368118,4,65.395169
0.346738,2,65.695357
0.548885,2,65.983382
0.574603,2,66.293349
0.520513,2,66.568928
0.570351,2,66.862174
1.286368,4,67.383041
0.330928,2,67.675992
2.029368,6,68.488866
0.535609,2,68.774677
0.8664,3,69.193695
0.52624,2,69.495115
0.515347,2,69.781662
0.973422,3,70.177307
0.497901,2,70.460969
1.326935,4,70.981525
0.550237,2,71.337801
0.355813,2,71.627511
0.555497,2,71.927827
2.302476,7,72.911776
0.532366,2,73.188168
0.551192,2,73.469982
0.51982,2,73.765339
0.92713,3,74.210156
0.923227,3,74.632046
