Loading Anaconda 3 2024.02-1
SCENARIO_NAME=cf_obs15
EXP_VERSION=v10_diag
TOTAL_TIMESTEPS=1000000
SEEDS=0
CONTROLLED_VEHICLES=2
N_WORLDS=4
VEC_MODE=async
TARGET_ROLLOUT_SIZE=16384
DEVICE=cpu
MODEL_DIR=runs/models
MONITOR_ROOT=runs/monitor
TB_DIR=runs/tb
ATTN_MODE=learned
X_INDEX=1
VX_INDEX=3
ORACLE_RULE=leader_x
TTC_EPS=1e-6
ppo_shared_attn_learned_cf_obs15_v10_diag_cv2_seed0 agents: 2 agent obs shape: (15, 5) joint action space: Tuple(Box(-1.0, 1.0, (1,), float32), Box(-1.0, 1.0, (1,), float32))
ppo_shared_attn_learned_cf_obs15_v10_diag_cv2_seed0: worlds=4, agents_per_world=2, ppo_slots=8, vec_mode=async, n_steps=2048, attn_mode=learned, oracle_rule=leader_x
Using cpu device
Logging to runs/tb/ppo_shared_attn_learned_cf_obs15_v10_diag_cv2_seed0_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 13.7     |
|    ep_rew_mean     | 4.84     |
| time/              |          |
|    fps             | 234      |
|    iterations      | 1        |
|    time_elapsed    | 69       |
|    total_timesteps | 16384    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.4         |
|    ep_rew_mean          | 5.21         |
| time/                   |              |
|    fps                  | 216          |
|    iterations           | 2            |
|    time_elapsed         | 151          |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0021480992 |
|    clip_fraction        | 0.0171       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | -0.00207     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.16         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.000511    |
|    std                  | 0.987        |
|    value_loss           | 2.46         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.4         |
|    ep_rew_mean          | 4.89         |
| time/                   |              |
|    fps                  | 210          |
|    iterations           | 3            |
|    time_elapsed         | 233          |
|    total_timesteps      | 49152        |
| train/                  |              |
|    approx_kl            | 0.0047394736 |
|    clip_fraction        | 0.0364       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.863        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.847        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00206     |
|    std                  | 0.981        |
|    value_loss           | 1.75         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15.1        |
|    ep_rew_mean          | 5.34        |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 4           |
|    time_elapsed         | 314         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.003108061 |
|    clip_fraction        | 0.0493      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.39       |
|    explained_variance   | 0.866       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.624       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00232    |
|    std                  | 0.966       |
|    value_loss           | 1.5         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.3         |
|    ep_rew_mean          | 5.36         |
| time/                   |              |
|    fps                  | 206          |
|    iterations           | 5            |
|    time_elapsed         | 397          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0041762553 |
|    clip_fraction        | 0.0607       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.38        |
|    explained_variance   | 0.866        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.887        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00323     |
|    std                  | 0.963        |
|    value_loss           | 1.65         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.7         |
|    ep_rew_mean          | 5.62         |
| time/                   |              |
|    fps                  | 205          |
|    iterations           | 6            |
|    time_elapsed         | 479          |
|    total_timesteps      | 98304        |
| train/                  |              |
|    approx_kl            | 0.0056756744 |
|    clip_fraction        | 0.059        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.37        |
|    explained_variance   | 0.876        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.492        |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00323     |
|    std                  | 0.952        |
|    value_loss           | 1.54         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 16.2       |
|    ep_rew_mean          | 5.15       |
| time/                   |            |
|    fps                  | 204        |
|    iterations           | 7          |
|    time_elapsed         | 560        |
|    total_timesteps      | 114688     |
| train/                  |            |
|    approx_kl            | 0.00666177 |
