Loading Anaconda 3 2024.02-1
SCENARIO_NAME=cf_obs15
EXP_VERSION=v10_diag
TOTAL_TIMESTEPS=1000000
SEEDS=1
CONTROLLED_VEHICLES=2
N_WORLDS=4
VEC_MODE=async
TARGET_ROLLOUT_SIZE=16384
DEVICE=cpu
MODEL_DIR=runs/models
MONITOR_ROOT=runs/monitor
TB_DIR=runs/tb
ATTN_MODE=uniform
X_INDEX=1
VX_INDEX=3
ORACLE_RULE=leader_x
TTC_EPS=1e-6
ppo_shared_attn_uniform_cf_obs15_v10_diag_cv2_seed1 agents: 2 agent obs shape: (15, 5) joint action space: Tuple(Box(-1.0, 1.0, (1,), float32), Box(-1.0, 1.0, (1,), float32))
ppo_shared_attn_uniform_cf_obs15_v10_diag_cv2_seed1: worlds=4, agents_per_world=2, ppo_slots=8, vec_mode=async, n_steps=2048, attn_mode=uniform, oracle_rule=leader_x
Using cpu device
Logging to runs/tb/ppo_shared_attn_uniform_cf_obs15_v10_diag_cv2_seed1_1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 13.9     |
|    ep_rew_mean     | 4.9      |
| time/              |          |
|    fps             | 283      |
|    iterations      | 1        |
|    time_elapsed    | 57       |
|    total_timesteps | 16384    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 14.1         |
|    ep_rew_mean          | 4.88         |
| time/                   |              |
|    fps                  | 267          |
|    iterations           | 2            |
|    time_elapsed         | 122          |
|    total_timesteps      | 32768        |
| train/                  |              |
|    approx_kl            | 0.0010532461 |
|    clip_fraction        | 0.00561      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | -0.00069     |
|    learning_rate        | 0.0003       |
|    loss                 | 0.805        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.000168    |
|    std                  | 1            |
|    value_loss           | 2.76         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14.4        |
|    ep_rew_mean          | 4.58        |
| time/                   |             |
|    fps                  | 220         |
|    iterations           | 3           |
|    time_elapsed         | 222         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.006830937 |
|    clip_fraction        | 0.0475      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.846       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.13        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00184    |
|    std                  | 0.987       |
|    value_loss           | 1.96        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15.2        |
|    ep_rew_mean          | 5.27        |
| time/                   |             |
|    fps                  | 221         |
|    iterations           | 4           |
|    time_elapsed         | 295         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.004169311 |
|    clip_fraction        | 0.0608      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.4        |
|    explained_variance   | 0.842       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.09        |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00221    |
|    std                  | 0.98        |
|    value_loss           | 2.09        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 15.5         |
|    ep_rew_mean          | 5.56         |
| time/                   |              |
|    fps                  | 226          |
|    iterations           | 5            |
|    time_elapsed         | 362          |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0036999192 |
|    clip_fraction        | 0.0264       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.856        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.18         |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.000992    |
|    std                  | 0.965        |
|    value_loss           | 1.7          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 15.1        |
|    ep_rew_mean          | 5.78        |
| time/                   |             |
|    fps                  | 229         |
|    iterations           | 6           |
|    time_elapsed         | 428         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.004059196 |
|    clip_fraction        | 0.0432      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.37       |
|    explained_variance   | 0.883       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.668       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00121    |
|    std                  | 0.957       |
|    value_loss           | 1.45        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.1         |
|    ep_rew_mean          | 5.66         |
| time/                   |              |
|    fps                  | 232          |
|    iterations           | 7            |
|    time_elapsed         | 494          |
|    total_timesteps      | 114688       |
| train/                  |              |
|    approx_kl            | 0.0024580937 |
|    clip_fraction        | 0.0374       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.869        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.616        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.0012      |
|    std                  | 0.94         |
|    value_loss           | 1.52         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 16          |
|    ep_rew_mean          | 5.17        |
| time/                   |             |
|    fps                  | 234         |
|    iterations           | 8           |
|    time_elapsed         | 559         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.004683716 |
|    clip_fraction        | 0.0503      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | 0.858       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.77        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00185    |
|    std                  | 0.922       |
|    value_loss           | 1.72        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 16.6         |
|    ep_rew_mean          | 5.67         |
| time/                   |              |
|    fps                  | 235          |
|    iterations           | 9            |
|    time_elapsed         | 624          |
|    total_timesteps      | 147456       |
| train/                  |              |
|    approx_kl            | 0.0060036555 |
|    clip_fraction        | 0.0603       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.33        |
|    explained_variance   | 0.862        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.795        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00152     |
|    std                  | 0.913        |
|    value_loss           | 1.66         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 17.3         |
|    ep_rew_mean          | 5.93         |
| time/                   |              |
|    fps                  | 237          |
|    iterations           | 10           |
|    time_elapsed         | 690          |
|    total_timesteps      | 163840       |
| train/                  |              |
|    approx_kl            | 0.0032378146 |
|    clip_fraction        | 0.0487       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
